Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.394392e+07   3.483042e+04
  2.318130e-02   1.173127e+07   2.592559e+04
  2.437620e-02   9.712982e+06   2.157876e+04
  2.557110e-02   8.282443e+06   1.704080e+04
  2.676600e-02   6.905706e+06   1.398019e+04
  2.796090e-02   5.877700e+06   1.205563e+04
  2.915580e-02   4.995338e+06   1.099879e+04
  3.035070e-02   4.261747e+06   9.906994e+03
  3.154570e-02   3.674827e+06   8.982035e+03
  3.274060e-02   3.207282e+06   8.552599e+03
  3.393550e-02   2.809944e+06   7.447724e+03
  3.513040e-02   2.489810e+06   7.162735e+03
  3.632530e-02   2.203023e+06   6.383455e+03
  3.752020e-02   2.001502e+06   6.084492e+03
  3.871510e-02   1.784075e+06   5.699803e+03
  3.991000e-02   1.609331e+06   5.177991e+03
  4.110490e-02   1.447840e+06   4.946534e+03
  4.229990e-02   1.328263e+06   4.501216e+03
  4.349480e-02   1.205877e+06   4.234197e+03
  4.468970e-02   1.101259e+06   3.959597e+03
  4.588460e-02   1.007726e+06   3.646778e+03
  4.707950e-02   9.188306e+05   3.552776e+03
  4.827440e-02   8.500594e+05   3.285390e+03
  4.946930e-02   7.760172e+05   3.065371e+03
  5.066420e-02   7.163186e+05   2.975942e+03
  5.185910e-02   6.577618e+05   2.668411e+03
  5.305410e-02   6.039430e+05   2.643614e+03
  5.424900e-02   5.582788e+05   2.408904e+03
  5.544390e-02   5.199385e+05   2.345566e+03
  5.663880e-02   4.786921e+05   2.206329e+03
  5.783370e-02   4.397483e+05   2.078985e+03
  5.902860e-02   4.105053e+05   2.012886e+03
  6.022350e-02   3.795531e+05   1.837733e+03
  6.141840e-02   3.542065e+05   1.817089e+03
  6.261330e-02   3.255617e+05   1.708497e+03
  6.380830e-02   3.059861e+05   1.628600e+03
  6.500320e-02   2.839170e+05   1.568770e+03
  6.619810e-02   2.681791e+05   1.466313e+03
  6.739300e-02   2.473514e+05   1.443123e+03
  6.858790e-02   2.310372e+05   1.356370e+03
  6.978280e-02   2.186550e+05   1.293477e+03
  7.097770e-02   2.016029e+05   1.248130e+03
  7.217260e-02   1.910044e+05   1.180434e+03
  7.336750e-02   1.787568e+05   1.163854e+03
  7.456250e-02   1.688271e+05   1.096257e+03
  7.575740e-02   1.586327e+05   1.056261e+03
  7.695230e-02   1.496851e+05   1.011016e+03
  7.814720e-02   1.401222e+05   9.839253e+02
  7.934210e-02   1.346847e+05   9.646459e+02
  8.053700e-02   1.273959e+05   8.993423e+02
  8.173190e-02   1.165296e+05   8.707885e+02
  8.292680e-02   1.145467e+05   8.425969e+02
  8.412170e-02   1.073513e+05   8.189512e+02
  8.531670e-02   1.013367e+05   7.978032e+02
  8.651160e-02   9.684315e+04   7.560336e+02
  8.770650e-02   9.116695e+04   7.419798e+02
  8.890140e-02   8.824893e+04   7.136835e+02
  9.009630e-02   8.261094e+04   6.863069e+02
  9.129120e-02   7.976656e+04   6.719463e+02
  9.248610e-02   7.681189e+04   6.515803e+02
  9.368100e-02   7.237939e+04   6.362547e+02
  9.487590e-02   6.937486e+04   6.078969e+02
  9.607090e-02   6.620112e+04   6.099479e+02
  9.726580e-02   6.345819e+04   5.929377e+02
  9.846070e-02   6.112216e+04   5.946816e+02
  9.965560e-02   5.892352e+04   5.838879e+02
  1.008510e-01   5.630485e+04   5.618418e+02
  1.020450e-01   5.465047e+04   5.609382e+02
  1.032400e-01   5.232332e+04   5.435621e+02
  1.044350e-01   4.877880e+04   5.267308e+02
  1.056300e-01   4.878886e+04   5.274240e+02
  1.068250e-01   4.680074e+04   5.140767e+02
  1.080200e-01   4.537509e+04   5.111247e+02
  1.092150e-01   4.256519e+04   4.850438e+02
  1.104100e-01   4.203340e+04   4.831425e+02
  1.116050e-01   3.968176e+04   4.666827e+02
  1.128000e-01   3.856627e+04   4.649915e+02
  1.139950e-01   3.685846e+04   4.556682e+02
  1.151890e-01   3.617250e+04   4.399519e+02
  1.163840e-01   3.607266e+04   4.470482e+02
  1.175790e-01   3.406691e+04   4.274423e+02
  1.187740e-01   3.248914e+04   4.208028e+02
  1.199690e-01   3.166897e+04   4.149763e+02
  1.211640e-01   3.125469e+04   4.043734e+02
  1.223590e-01   2.987059e+04   3.993408e+02
  1.235540e-01   2.904259e+04   3.924316e+02
  1.247490e-01   2.756564e+04   3.831889e+02
  1.259440e-01   2.672263e+04   3.714344e+02
  1.271390e-01   2.661082e+04   3.698446e+02
  1.283330e-01   2.571756e+04   3.697021e+02
  1.295280e-01   2.490818e+04   3.532098e+02
  1.307230e-01   2.440628e+04   3.573352e+02
  1.319180e-01   2.367944e+04   3.429283e+02
  1.331130e-01   2.227603e+04   3.343830e+02
  1.343080e-01   2.203090e+04   3.365164e+02
  1.355030e-01   2.157281e+04   3.269733e+02
  1.366980e-01   2.154406e+04   3.291952e+02
  1.378930e-01   2.046217e+04   3.151384e+02
  1.390880e-01   2.020804e+04   3.184838e+02
  1.402830e-01   1.953914e+04   3.048158e+02
  1.414770e-01   1.885082e+04   3.024758e+02
  1.426720e-01   1.827857e+04   2.963226e+02
  1.438670e-01   1.852782e+04   2.986417e+02
  1.450620e-01   1.785979e+04   2.953342e+02
  1.462570e-01   1.731811e+04   2.816046e+02
  1.474520e-01   1.669604e+04   2.820535e+02
  1.486470e-01   1.674359e+04   2.801906e+02
  1.498420e-01   1.645283e+04   2.769193e+02
  1.510370e-01   1.576227e+04   2.721276e+02
  1.522320e-01   1.573112e+04   2.663233e+02
  1.534270e-01   1.531059e+04   2.660800e+02
  1.546220e-01   1.467148e+04   2.581902e+02
  1.558160e-01   1.468058e+04   2.562950e+02
  1.570110e-01   1.450495e+04   2.572188e+02
  1.582060e-01   1.410753e+04   2.481890e+02
  1.594010e-01   1.397951e+04   2.535033e+02
  1.605960e-01   1.333175e+04   2.410446e+02
  1.617910e-01   1.316878e+04   2.397893e+02
  1.629860e-01   1.276651e+04   2.365385e+02
  1.641810e-01   1.252694e+04   2.332233e+02
  1.653760e-01   1.277057e+04   2.385877e+02
  1.665710e-01   1.248364e+04   2.288362e+02
  1.677660e-01   1.225734e+04   2.296413e+02
  1.689600e-01   1.158217e+04   2.230229e+02
  1.701550e-01   1.186593e+04   2.221135e+02
  1.713500e-01   1.166862e+04   2.230397e+02
  1.725450e-01   1.131111e+04   2.162851e+02
  1.737400e-01   1.135667e+04   2.190464e+02
  1.749350e-01   1.096650e+04   2.137188e+02
  1.761300e-01   1.125580e+04   2.151881e+02
  1.773250e-01   1.080985e+04   2.110671e+02
  1.785200e-01   1.043370e+04   2.036449e+02
  1.797150e-01   1.049112e+04   2.097805e+02
  1.809100e-01   1.069247e+04   2.117840e+02
  1.821040e-01   1.000320e+04   2.089905e+02
  1.832990e-01   1.034300e+04   2.139065e+02
  1.844940e-01   9.778069e+03   2.095675e+02
  1.856890e-01   9.423925e+03   2.083430e+02
  1.868840e-01   9.602899e+03   2.076818e+02
  1.880790e-01   9.610263e+03   2.114317e+02
  1.892740e-01   9.535837e+03   2.106114e+02
  1.904690e-01   9.109025e+03   2.054377e+02
  1.916640e-01   9.277167e+03   2.102483e+02
  1.928590e-01   9.333766e+03   2.041662e+02
  1.940540e-01   8.957210e+03   1.983160e+02
  1.952480e-01   9.023352e+03   1.966717e+02
  1.964430e-01   9.046875e+03   1.951553e+02
  1.976380e-01   8.727544e+03   1.921975e+02
  1.988330e-01   9.066523e+03   1.921236e+02
  2.000280e-01   8.829846e+03   1.917720e+02
  2.012230e-01   8.442228e+03   1.839619e+02
  2.024180e-01   8.063140e+03   1.799378e+02
  2.036130e-01   8.438220e+03   1.839182e+02
  2.048080e-01   8.166757e+03   1.791111e+02
  2.060030e-01   7.763683e+03   1.743438e+02
  2.071980e-01   7.924354e+03   1.727181e+02
  2.083930e-01   7.682308e+03   1.714391e+02
  2.095870e-01   8.057168e+03   1.736039e+02
  2.107820e-01   7.772332e+03   1.713281e+02
  2.119770e-01   8.133108e+03   1.733197e+02
  2.131720e-01   7.659221e+03   1.675373e+02
  2.143670e-01   7.377101e+03   1.635323e+02
  2.155620e-01   7.490572e+03   1.636526e+02
  2.167570e-01   7.506189e+03   1.647029e+02
  2.179520e-01   7.275005e+03   1.609136e+02
  2.191470e-01   7.246532e+03   1.605984e+02
  2.203420e-01   7.378681e+03   1.630473e+02
  2.215370e-01   7.158580e+03   1.578373e+02
  2.227310e-01   7.205699e+03   1.593028e+02
  2.239260e-01   6.898014e+03   1.547091e+02
