Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.393761e+07   3.478211e+04
  2.318130e-02   1.174017e+07   2.590533e+04
  2.437620e-02   9.722491e+06   2.156426e+04
  2.557110e-02   8.291874e+06   1.703071e+04
  2.676600e-02   6.936697e+06   1.399526e+04
  2.796090e-02   5.873437e+06   1.203727e+04
  2.915580e-02   4.981429e+06   1.097071e+04
  3.035070e-02   4.235361e+06   9.864814e+03
  3.154570e-02   3.657430e+06   8.950347e+03
  3.274060e-02   3.194652e+06   8.525836e+03
  3.393550e-02   2.797694e+06   7.422845e+03
  3.513040e-02   2.503296e+06   7.173771e+03
  3.632530e-02   2.215793e+06   6.394499e+03
  3.752020e-02   2.005993e+06   6.084243e+03
  3.871510e-02   1.779972e+06   5.686636e+03
  3.991000e-02   1.603370e+06   5.162393e+03
  4.110490e-02   1.448409e+06   4.941763e+03
  4.229990e-02   1.325257e+06   4.490901e+03
  4.349480e-02   1.199697e+06   4.218432e+03
  4.468970e-02   1.100323e+06   3.953320e+03
  4.588460e-02   1.002767e+06   3.633573e+03
  4.707950e-02   9.234007e+05   3.557466e+03
  4.827440e-02   8.517989e+05   3.284932e+03
  4.946930e-02   7.721026e+05   3.054080e+03
  5.066420e-02   7.148663e+05   2.969473e+03
  5.185910e-02   6.559765e+05   2.661694e+03
  5.305410e-02   6.131169e+05   2.660525e+03
  5.424900e-02   5.584664e+05   2.406512e+03
  5.544390e-02   5.181093e+05   2.338719e+03
  5.663880e-02   4.708854e+05   2.185724e+03
  5.783370e-02   4.409735e+05   2.079462e+03
  5.902860e-02   4.154513e+05   2.022625e+03
  6.022350e-02   3.801816e+05   1.837119e+03
  6.141840e-02   3.536637e+05   1.813588e+03
  6.261330e-02   3.291984e+05   1.716018e+03
  6.380830e-02   3.062880e+05   1.627512e+03
  6.500320e-02   2.852473e+05   1.570616e+03
  6.619810e-02   2.633815e+05   1.451452e+03
  6.739300e-02   2.462315e+05   1.438181e+03
  6.858790e-02   2.286660e+05   1.347825e+03
  6.978280e-02   2.171476e+05   1.287515e+03
  7.097770e-02   2.051748e+05   1.257677e+03
  7.217260e-02   1.904229e+05   1.177268e+03
  7.336750e-02   1.783118e+05   1.161056e+03
  7.456250e-02   1.689467e+05   1.095372e+03
  7.575740e-02   1.590014e+05   1.056260e+03
  7.695230e-02   1.494468e+05   1.009039e+03
  7.814720e-02   1.403761e+05   9.836732e+02
  7.934210e-02   1.342482e+05   9.619633e+02
  8.053700e-02   1.254281e+05   8.913337e+02
  8.173190e-02   1.179407e+05   8.750280e+02
  8.292680e-02   1.125557e+05   8.342724e+02
  8.412170e-02   1.063169e+05   8.140499e+02
  8.531670e-02   1.024551e+05   8.012625e+02
  8.651160e-02   9.655957e+04   7.540496e+02
  8.770650e-02   9.152777e+04   7.425837e+02
  8.890140e-02   8.766412e+04   7.104893e+02
  9.009630e-02   8.314169e+04   6.877088e+02
  9.129120e-02   7.942901e+04   6.697447e+02
  9.248610e-02   7.556940e+04   6.455387e+02
  9.368100e-02   7.238443e+04   6.355383e+02
  9.487590e-02   7.046277e+04   6.119336e+02
  9.607090e-02   6.646242e+04   6.104410e+02
  9.726580e-02   6.435011e+04   5.963970e+02
  9.846070e-02   6.170191e+04   5.968017e+02
  9.965560e-02   5.873486e+04   5.822758e+02
  1.008510e-01   5.640913e+04   5.617091e+02
  1.020450e-01   5.424795e+04   5.582200e+02
  1.032400e-01   5.163855e+04   5.393667e+02
  1.044350e-01   5.049852e+04   5.353134e+02
  1.056300e-01   4.785653e+04   5.217540e+02
  1.068250e-01   4.671469e+04   5.130077e+02
  1.080200e-01   4.478156e+04   5.071814e+02
  1.092150e-01   4.354174e+04   4.900069e+02
  1.104100e-01   4.220181e+04   4.835475e+02
  1.116050e-01   4.082173e+04   4.727892e+02
  1.128000e-01   3.849916e+04   4.640475e+02
  1.139950e-01   3.716636e+04   4.570363e+02
  1.151890e-01   3.587503e+04   4.376306e+02
  1.163840e-01   3.504931e+04   4.401498e+02
  1.175790e-01   3.327087e+04   4.219284e+02
  1.187740e-01   3.248989e+04   4.203192e+02
  1.199690e-01   3.158464e+04   4.139424e+02
  1.211640e-01   3.116652e+04   4.033339e+02
  1.223590e-01   2.982791e+04   3.985923e+02
  1.235540e-01   2.893817e+04   3.912708e+02
  1.247490e-01   2.880901e+04   3.912809e+02
  1.259440e-01   2.672244e+04   3.710019e+02
  1.271390e-01   2.656959e+04   3.691290e+02
  1.283330e-01   2.588589e+04   3.704795e+02
  1.295280e-01   2.490036e+04   3.527444e+02
  1.307230e-01   2.416697e+04   3.551662e+02
  1.319180e-01   2.317857e+04   3.388882e+02
  1.331130e-01   2.311072e+04   3.401947e+02
  1.343080e-01   2.227210e+04   3.379607e+02
  1.355030e-01   2.154748e+04   3.264020e+02
  1.366980e-01   2.118293e+04   3.260456e+02
  1.378930e-01   2.084564e+04   3.177084e+02
  1.390880e-01   2.026632e+04   3.185725e+02
  1.402830e-01   1.943214e+04   3.036271e+02
  1.414770e-01   1.917025e+04   3.046737e+02
  1.426720e-01   1.867708e+04   2.991878e+02
  1.438670e-01   1.826872e+04   2.962020e+02
  1.450620e-01   1.785245e+04   2.949308e+02
  1.462570e-01   1.758402e+04   2.834289e+02
  1.474520e-01   1.686172e+04   2.831204e+02
  1.486470e-01   1.622759e+04   2.755193e+02
  1.498420e-01   1.623330e+04   2.747463e+02
  1.510370e-01   1.592725e+04   2.732305e+02
  1.522320e-01   1.545171e+04   2.636411e+02
  1.534270e-01   1.559800e+04   2.682541e+02
  1.546220e-01   1.489582e+04   2.598548e+02
  1.558160e-01   1.476705e+04   2.567503e+02
  1.570110e-01   1.464877e+04   2.581908e+02
  1.582060e-01   1.371324e+04   2.444121e+02
  1.594010e-01   1.440112e+04   2.569990e+02
  1.605960e-01   1.364431e+04   2.435708e+02
  1.617910e-01   1.308595e+04   2.387565e+02
  1.629860e-01   1.322222e+04   2.404438e+02
  1.641810e-01   1.293974e+04   2.367598e+02
  1.653760e-01   1.244743e+04   2.352764e+02
  1.665710e-01   1.213661e+04   2.253712e+02
  1.677660e-01   1.208296e+04   2.277373e+02
  1.689600e-01   1.205230e+04   2.272402e+02
  1.701550e-01   1.231957e+04   2.260567e+02
  1.713500e-01   1.150119e+04   2.211767e+02
  1.725450e-01   1.130963e+04   2.160199e+02
  1.737400e-01   1.138933e+04   2.191066e+02
  1.749350e-01   1.085795e+04   2.124116e+02
  1.761300e-01   1.111066e+04   2.135480e+02
  1.773250e-01   1.053396e+04   2.081145e+02
  1.785200e-01   1.043725e+04   2.034431e+02
  1.797150e-01   1.052537e+04   2.098788e+02
  1.809100e-01   1.021150e+04   2.067257e+02
  1.821040e-01   9.984352e+03   2.085511e+02
  1.832990e-01   1.019542e+04   2.121285e+02
  1.844940e-01   9.786750e+03   2.094171e+02
  1.856890e-01   1.010974e+04   2.155404e+02
  1.868840e-01   1.007354e+04   2.124633e+02
  1.880790e-01   9.277030e+03   2.074926e+02
  1.892740e-01   9.402332e+03   2.088891e+02
  1.904690e-01   9.120248e+03   2.053256e+02
  1.916640e-01   9.208104e+03   2.092211e+02
  1.928590e-01   8.995765e+03   2.002027e+02
  1.940540e-01   8.739300e+03   1.956614e+02
  1.952480e-01   8.792859e+03   1.939182e+02
  1.964430e-01   8.631080e+03   1.903966e+02
  1.976380e-01   8.394811e+03   1.882794e+02
  1.988330e-01   8.883017e+03   1.899486e+02
  2.000280e-01   8.348114e+03   1.862509e+02
  2.012230e-01   8.826576e+03   1.878846e+02
  2.024180e-01   8.116543e+03   1.803231e+02
  2.036130e-01   8.138687e+03   1.804148e+02
  2.048080e-01   8.049832e+03   1.776178e+02
  2.060030e-01   8.054247e+03   1.773702e+02
  2.071980e-01   7.999863e+03   1.733376e+02
  2.083930e-01   7.985109e+03   1.745822e+02
  2.095870e-01   7.631698e+03   1.687620e+02
  2.107820e-01   7.550833e+03   1.686732e+02
  2.119770e-01   7.675730e+03   1.681803e+02
  2.131720e-01   7.359923e+03   1.640406e+02
  2.143670e-01   7.504653e+03   1.647485e+02
  2.155620e-01   7.380447e+03   1.622566e+02
  2.167570e-01   7.308495e+03   1.623308e+02
  2.179520e-01   7.013111e+03   1.578073e+02
  2.191470e-01   7.187107e+03   1.597529e+02
  2.203420e-01   7.023676e+03   1.588921e+02
  2.215370e-01   7.089890e+03   1.568959e+02
  2.227310e-01   7.318987e+03   1.603638e+02
  2.239260e-01   6.923550e+03   1.548153e+02
  2.251210e-01   6.869960e+03   1.550185e+02
  2.263160e-01   6.841864e+03   1.533341e+02
  2.275110e-01   6.922802e+03   1.528991e+02
  2.287060e-01   6.958595e+03   1.547501e+02
  2.299010e-01   6.960355e+03   1.528733e+02
  2.310960e-01   6.835564e+03   1.530393e+02
  2.322910e-01   6.464462e+03   1.480713e+02
  2.334860e-01   6.558817e+03   1.476597e+02
  2.346810e-01   6.301663e+03   1.461949e+02
  2.358750e-01   6.504613e+03   1.458126e+02
  2.370700e-01   6.517784e+03   1.468849e+02
  2.382650e-01   6.295419e+03   1.434487e+02
  2.394600e-01   6.213552e+03   1.428120e+02
  2.406550e-01   6.204483e+03   1.432100e+02
