Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.397867e+07   3.471271e+04
  2.318130e-02   1.175683e+07   2.583394e+04
  2.437620e-02   9.778353e+06   2.155124e+04
  2.557110e-02   8.277736e+06   1.695727e+04
  2.676600e-02   6.915891e+06   1.392588e+04
  2.796090e-02   5.883404e+06   1.200577e+04
  2.915580e-02   5.004676e+06   1.095821e+04
  3.035070e-02   4.251926e+06   9.849865e+03
  3.154570e-02   3.669648e+06   8.934245e+03
  3.274060e-02   3.194420e+06   8.496009e+03
  3.393550e-02   2.807848e+06   7.410558e+03
  3.513040e-02   2.496078e+06   7.138619e+03
  3.632530e-02   2.209475e+06   6.363267e+03
  3.752020e-02   1.990257e+06   6.039351e+03
  3.871510e-02   1.782949e+06   5.671686e+03
  3.991000e-02   1.608166e+06   5.152208e+03
  4.110490e-02   1.449414e+06   4.926363e+03
  4.229990e-02   1.339779e+06   4.499805e+03
  4.349480e-02   1.199197e+06   4.202950e+03
  4.468970e-02   1.100250e+06   3.939501e+03
  4.588460e-02   1.003367e+06   3.622075e+03
  4.707950e-02   9.268310e+05   3.551729e+03
  4.827440e-02   8.502260e+05   3.270535e+03
  4.946930e-02   7.783666e+05   3.055827e+03
  5.066420e-02   7.168091e+05   2.963210e+03
  5.185910e-02   6.568156e+05   2.654174e+03
  5.305410e-02   6.085233e+05   2.641363e+03
  5.424900e-02   5.546060e+05   2.389877e+03
  5.544390e-02   5.205247e+05   2.336048e+03
  5.663880e-02   4.728797e+05   2.182764e+03
  5.783370e-02   4.439922e+05   2.079344e+03
  5.902860e-02   4.143691e+05   2.012995e+03
  6.022350e-02   3.804277e+05   1.831351e+03
  6.141840e-02   3.545993e+05   1.809698e+03
  6.261330e-02   3.291703e+05   1.710004e+03
  6.380830e-02   3.050468e+05   1.618587e+03
  6.500320e-02   2.869428e+05   1.569822e+03
  6.619810e-02   2.639836e+05   1.448079e+03
  6.739300e-02   2.474992e+05   1.436886e+03
  6.858790e-02   2.321741e+05   1.353423e+03
  6.978280e-02   2.156466e+05   1.278615e+03
  7.097770e-02   2.040399e+05   1.249851e+03
  7.217260e-02   1.907040e+05   1.174058e+03
  7.336750e-02   1.786934e+05   1.158273e+03
  7.456250e-02   1.683361e+05   1.089605e+03
  7.575740e-02   1.596165e+05   1.054638e+03
  7.695230e-02   1.503487e+05   1.008575e+03
  7.814720e-02   1.426641e+05   9.882241e+02
  7.934210e-02   1.318005e+05   9.498535e+02
  8.053700e-02   1.255172e+05   8.885632e+02
  8.173190e-02   1.200911e+05   8.799122e+02
  8.292680e-02   1.133436e+05   8.342888e+02
  8.412170e-02   1.057986e+05   8.092518e+02
  8.531670e-02   1.010437e+05   7.929693e+02
  8.651160e-02   9.804410e+04   7.571933e+02
  8.770650e-02   9.354560e+04   7.481254e+02
  8.890140e-02   8.740126e+04   7.069671e+02
  9.009630e-02   8.386062e+04   6.882845e+02
  9.129120e-02   7.916599e+04   6.663199e+02
  9.248610e-02   7.623538e+04   6.461322e+02
  9.368100e-02   7.257122e+04   6.341546e+02
  9.487590e-02   7.011820e+04   6.083221e+02
  9.607090e-02   6.641504e+04   6.081106e+02
  9.726580e-02   6.419622e+04   5.936211e+02
  9.846070e-02   6.179706e+04   5.951938e+02
  9.965560e-02   5.882186e+04   5.806894e+02
  1.008510e-01   5.651358e+04   5.602823e+02
  1.020450e-01   5.387867e+04   5.543906e+02
  1.032400e-01   5.212641e+04   5.400324e+02
  1.044350e-01   4.996349e+04   5.306264e+02
