Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.400441e+07   3.470470e+04
  2.318130e-02   1.175880e+07   2.580639e+04
  2.437620e-02   9.726730e+06   2.146956e+04
  2.557110e-02   8.272431e+06   1.693234e+04
  2.676600e-02   6.914457e+06   1.390842e+04
  2.796090e-02   5.875231e+06   1.198363e+04
  2.915580e-02   4.988743e+06   1.092817e+04
  3.035070e-02   4.254740e+06   9.841793e+03
  3.154570e-02   3.664966e+06   8.918275e+03
  3.274060e-02   3.205428e+06   8.500846e+03
  3.393550e-02   2.808340e+06   7.402683e+03
  3.513040e-02   2.509568e+06   7.149651e+03
  3.632530e-02   2.207028e+06   6.352430e+03
  3.752020e-02   1.981568e+06   6.019222e+03
  3.871510e-02   1.773828e+06   5.650654e+03
  3.991000e-02   1.603316e+06   5.138517e+03
  4.110490e-02   1.446784e+06   4.916230e+03
  4.229990e-02   1.322178e+06   4.465010e+03
  4.349480e-02   1.208521e+06   4.214405e+03
  4.468970e-02   1.102435e+06   3.938876e+03
  4.588460e-02   1.005966e+06   3.622591e+03
  4.707950e-02   9.235190e+05   3.541299e+03
  4.827440e-02   8.392091e+05   3.245540e+03
  4.946930e-02   7.813650e+05   3.058186e+03
  5.066420e-02   7.128881e+05   2.951696e+03
  5.185910e-02   6.566432e+05   2.650774e+03
  5.305410e-02   6.066440e+05   2.634248e+03
  5.424900e-02   5.596500e+05   2.397959e+03
  5.544390e-02   5.162529e+05   2.323767e+03
  5.663880e-02   4.743157e+05   2.183562e+03
  5.783370e-02   4.435350e+05   2.075883e+03
  5.902860e-02   4.142068e+05   2.010286e+03
  6.022350e-02   3.785856e+05   1.824811e+03
  6.141840e-02   3.528811e+05   1.803232e+03
  6.261330e-02   3.284401e+05   1.706142e+03
  6.380830e-02   3.033345e+05   1.612182e+03
  6.500320e-02   2.861974e+05   1.565979e+03
  6.619810e-02   2.647875e+05   1.448614e+03
  6.739300e-02   2.487030e+05   1.438720e+03
  6.858790e-02   2.324669e+05   1.352718e+03
  6.978280e-02   2.197875e+05   1.289348e+03
  7.097770e-02   2.033035e+05   1.246159e+03
