Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.397217e+07   3.458531e+04
  2.318130e-02   1.170820e+07   2.569181e+04
  2.437620e-02   9.739529e+06   2.143446e+04
  2.557110e-02   8.261308e+06   1.688219e+04
  2.676600e-02   6.918458e+06   1.388057e+04
  2.796090e-02   5.882455e+06   1.196353e+04
  2.915580e-02   4.996317e+06   1.091141e+04
  3.035070e-02   4.255300e+06   9.819892e+03
  3.154570e-02   3.678047e+06   8.913709e+03
  3.274060e-02   3.204222e+06   8.479776e+03
  3.393550e-02   2.806307e+06   7.383049e+03
  3.513040e-02   2.483403e+06   7.095988e+03
  3.632530e-02   2.196436e+06   6.322649e+03
  3.752020e-02   1.969933e+06   5.987776e+03
  3.871510e-02   1.775422e+06   5.640240e+03
  3.991000e-02   1.603142e+06   5.126467e+03
  4.110490e-02   1.456210e+06   4.920919e+03
  4.229990e-02   1.326589e+06   4.462205e+03
  4.349480e-02   1.201117e+06   4.191851e+03
  4.468970e-02   1.093327e+06   3.913585e+03
  4.588460e-02   1.002478e+06   3.608022e+03
  4.707950e-02   9.245370e+05   3.535133e+03
  4.827440e-02   8.498242e+05   3.258520e+03
  4.946930e-02   7.724274e+05   3.033679e+03
  5.066420e-02   7.132629e+05   2.945708e+03
  5.185910e-02   6.544049e+05   2.640190e+03
  5.305410e-02   6.019433e+05   2.618011e+03
  5.424900e-02   5.637571e+05   2.401228e+03
  5.544390e-02   5.224384e+05   2.332291e+03
  5.663880e-02   4.799398e+05   2.191437e+03
  5.783370e-02   4.421531e+05   2.067898e+03
  5.902860e-02   4.123305e+05   2.001133e+03
  6.022350e-02   3.760999e+05   1.814644e+03
  6.141840e-02   3.507524e+05   1.793667e+03
  6.261330e-02   3.278280e+05   1.700647e+03
  6.380830e-02   3.034474e+05   1.608788e+03
  6.500320e-02   2.841456e+05   1.556781e+03
  6.619810e-02   2.647195e+05   1.445110e+03
  6.739300e-02   2.459327e+05   1.427407e+03
  6.858790e-02   2.297967e+05   1.341846e+03
  6.978280e-02   2.157548e+05   1.274538e+03
  7.097770e-02   2.037720e+05   1.244736e+03
  7.217260e-02   1.911894e+05   1.171509e+03
  7.336750e-02   1.766465e+05   1.147660e+03
  7.456250e-02   1.672155e+05   1.082238e+03
  7.575740e-02   1.576972e+05   1.044673e+03
  7.695230e-02   1.502170e+05   1.004667e+03
  7.814720e-02   1.426297e+05   9.847074e+02
  7.934210e-02   1.332683e+05   9.518439e+02
  8.053700e-02   1.259987e+05   8.872047e+02
  8.173190e-02   1.202335e+05   8.774065e+02
  8.292680e-02   1.128399e+05   8.295709e+02
  8.412170e-02   1.072178e+05   8.118601e+02
  8.531670e-02   1.028531e+05   7.972867e+02
  8.651160e-02   9.749880e+04   7.524883e+02
