Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.398106e+07   3.504013e+04
  2.318130e-02   1.171453e+07   2.602844e+04
  2.437620e-02   9.720371e+06   2.168807e+04
  2.557110e-02   8.267243e+06   1.710490e+04
  2.676600e-02   6.915070e+06   1.405519e+04
  2.796090e-02   5.895176e+06   1.213009e+04
  2.915580e-02   5.006480e+06   1.106262e+04
  3.035070e-02   4.270985e+06   9.964179e+03
  3.154570e-02   3.674630e+06   9.023863e+03
  3.274060e-02   3.211614e+06   8.598460e+03
  3.393550e-02   2.822341e+06   7.499095e+03
  3.513040e-02   2.517952e+06   7.236839e+03
  3.632530e-02   2.214821e+06   6.430505e+03
  3.752020e-02   1.999721e+06   6.110270e+03
  3.871510e-02   1.800477e+06   5.752764e+03
  3.991000e-02   1.610081e+06   5.203456e+03
  4.110490e-02   1.462270e+06   4.994408e+03
  4.229990e-02   1.330912e+06   4.526806e+03
  4.349480e-02   1.208030e+06   4.257827e+03
  4.468970e-02   1.100908e+06   3.977509e+03
  4.588460e-02   9.988182e+05   3.647630e+03
  4.707950e-02   9.261686e+05   3.583642e+03
  4.827440e-02   8.454165e+05   3.291752e+03
  4.946930e-02   7.779259e+05   3.083514e+03
  5.066420e-02   7.218840e+05   3.001474e+03
  5.185910e-02   6.568793e+05   2.679110e+03
  5.305410e-02   6.061914e+05   2.660936e+03
  5.424900e-02   5.588730e+05   2.421475e+03
  5.544390e-02   5.188287e+05   2.354036e+03
  5.663880e-02   4.778184e+05   2.214640e+03
  5.783370e-02   4.469231e+05   2.105693e+03
  5.902860e-02   4.140111e+05   2.030931e+03
  6.022350e-02   3.814374e+05   1.850919e+03
  6.141840e-02   3.542203e+05   1.825636e+03
  6.261330e-02   3.299761e+05   1.728097e+03
  6.380830e-02   3.047032e+05   1.632794e+03
  6.500320e-02   2.842380e+05   1.577009e+03
  6.619810e-02   2.630982e+05   1.459159e+03
  6.739300e-02   2.470309e+05   1.448942e+03
  6.858790e-02   2.327565e+05   1.367784e+03
  6.978280e-02   2.180589e+05   1.297763e+03
  7.097770e-02   2.033867e+05   1.259511e+03
  7.217260e-02   1.904341e+05   1.184192e+03
  7.336750e-02   1.805883e+05   1.175280e+03
  7.456250e-02   1.706566e+05   1.107343e+03
  7.575740e-02   1.594833e+05   1.064050e+03
  7.695230e-02   1.506356e+05   1.018972e+03
  7.814720e-02   1.426722e+05   9.974885e+02
  7.934210e-02   1.312071e+05   9.565702e+02
  8.053700e-02   1.257916e+05   8.978475e+02
  8.173190e-02   1.196402e+05   8.864670e+02
  8.292680e-02   1.126130e+05   8.393677e+02
  8.412170e-02   1.070540e+05   8.216466e+02
  8.531670e-02   1.013689e+05   8.016675e+02
  8.651160e-02   9.649542e+04   7.582099e+02
  8.770650e-02   9.114523e+04   7.453663e+02
  8.890140e-02   8.833767e+04   7.173868e+02
  9.009630e-02   8.424990e+04   6.963277e+02
  9.129120e-02   8.062410e+04   6.787127e+02
  9.248610e-02   7.646752e+04   6.531631e+02
  9.368100e-02   7.322837e+04   6.429729e+02
  9.487590e-02   7.073062e+04   6.166831e+02
  9.607090e-02   6.582436e+04   6.110585e+02
  9.726580e-02   6.362903e+04   5.965163e+02
  9.846070e-02   6.115294e+04   5.976174e+02
  9.965560e-02   5.909134e+04   5.874576e+02
  1.008510e-01   5.689578e+04   5.674278e+02
  1.020450e-01   5.500090e+04   5.653695e+02
  1.032400e-01   5.124147e+04   5.404328e+02
  1.044350e-01   5.001188e+04   5.358450e+02
  1.056300e-01   4.780242e+04   5.245102e+02
  1.068250e-01   4.751378e+04   5.204041e+02
  1.080200e-01   4.370316e+04   5.039692e+02
