Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.397049e+07   3.462287e+04
  2.318130e-02   1.171375e+07   2.572736e+04
  2.437620e-02   9.669575e+06   2.138183e+04
  2.557110e-02   8.270850e+06   1.691129e+04
  2.676600e-02   6.913727e+06   1.389173e+04
  2.796090e-02   5.864487e+06   1.195893e+04
  2.915580e-02   4.972142e+06   1.089745e+04
  3.035070e-02   4.239281e+06   9.812624e+03
  3.154570e-02   3.671998e+06   8.916584e+03
  3.274060e-02   3.198166e+06   8.481468e+03
  3.393550e-02   2.809433e+06   7.395628e+03
  3.513040e-02   2.482393e+06   7.102676e+03
  3.632530e-02   2.199631e+06   6.334498e+03
  3.752020e-02   1.994244e+06   6.031515e+03
  3.871510e-02   1.778596e+06   5.651750e+03
  3.991000e-02   1.597667e+06   5.123571e+03
  4.110490e-02   1.446799e+06   4.910615e+03
  4.229990e-02   1.315987e+06   4.449432e+03
  4.349480e-02   1.203637e+06   4.201056e+03
  4.468970e-02   1.102757e+06   3.934930e+03
  4.588460e-02   1.003242e+06   3.613533e+03
  4.707950e-02   9.175938e+05   3.525870e+03
  4.827440e-02   8.395134e+05   3.242404e+03
  4.946930e-02   7.733750e+05   3.039019e+03
  5.066420e-02   7.153744e+05   2.953446e+03
  5.185910e-02   6.521905e+05   2.638740e+03
  5.305410e-02   5.992496e+05   2.615140e+03
  5.424900e-02   5.580179e+05   2.391713e+03
  5.544390e-02   5.165612e+05   2.321793e+03
  5.663880e-02   4.757552e+05   2.184364e+03
  5.783370e-02   4.425662e+05   2.071235e+03
  5.902860e-02   4.106577e+05   1.999359e+03
  6.022350e-02   3.788405e+05   1.823331e+03
  6.141840e-02   3.472544e+05   1.786746e+03
  6.261330e-02   3.280759e+05   1.703239e+03
  6.380830e-02   3.058617e+05   1.617026e+03
  6.500320e-02   2.888922e+05   1.571529e+03
  6.619810e-02   2.659987e+05   1.450258e+03
  6.739300e-02   2.471361e+05   1.432535e+03
  6.858790e-02   2.320201e+05   1.349867e+03
  6.978280e-02   2.171100e+05   1.280000e+03
  7.097770e-02   2.052682e+05   1.250729e+03
  7.217260e-02   1.905847e+05   1.170995e+03
  7.336750e-02   1.781353e+05   1.153807e+03
  7.456250e-02   1.681817e+05   1.086605e+03
  7.575740e-02   1.582393e+05   1.047666e+03
  7.695230e-02   1.489654e+05   1.001619e+03
  7.814720e-02   1.401427e+05   9.772032e+02
  7.934210e-02   1.313935e+05   9.462082e+02
  8.053700e-02   1.263565e+05   8.894820e+02
  8.173190e-02   1.180770e+05   8.704989e+02
  8.292680e-02   1.128176e+05   8.304393e+02
  8.412170e-02   1.070509e+05   8.121577e+02
  8.531670e-02   1.011439e+05   7.915406e+02
  8.651160e-02   9.543478e+04   7.453340e+02
  8.770650e-02   9.120473e+04   7.370094e+02
  8.890140e-02   8.636850e+04   7.011640e+02
  9.009630e-02   8.367837e+04   6.859574e+02
  9.129120e-02   7.907080e+04   6.643901e+02
  9.248610e-02   7.594564e+04   6.434223e+02
  9.368100e-02   7.227143e+04   6.313902e+02
  9.487590e-02   6.968098e+04   6.050301e+02
  9.607090e-02   6.599953e+04   6.048135e+02
  9.726580e-02   6.295100e+04   5.864859e+02
  9.846070e-02   6.108562e+04   5.903990e+02
  9.965560e-02   5.909413e+04   5.806953e+02
  1.008510e-01   5.661374e+04   5.594909e+02
  1.020450e-01   5.386433e+04   5.530440e+02
  1.032400e-01   5.248876e+04   5.406618e+02
  1.044350e-01   4.923505e+04   5.255346e+02
  1.056300e-01   4.888220e+04   5.242832e+02
  1.068250e-01   4.557194e+04   5.037804e+02
  1.080200e-01   4.527307e+04   5.070246e+02
  1.092150e-01   4.362568e+04   4.876585e+02
  1.104100e-01   4.144948e+04   4.764623e+02
  1.116050e-01   3.981230e+04   4.642222e+02
  1.128000e-01   3.803001e+04   4.585592e+02
  1.139950e-01   3.670125e+04   4.515559e+02
