Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.392611e+07   3.452826e+04
  2.318130e-02   1.172979e+07   2.571549e+04
  2.437620e-02   9.701366e+06   2.139243e+04
  2.557110e-02   8.262377e+06   1.688328e+04
  2.676600e-02   6.916871e+06   1.387898e+04
  2.796090e-02   5.871700e+06   1.195258e+04
  2.915580e-02   4.984355e+06   1.089834e+04
  3.035070e-02   4.243154e+06   9.805867e+03
  3.154570e-02   3.661543e+06   8.893688e+03
  3.274060e-02   3.212817e+06   8.491142e+03
  3.393550e-02   2.798071e+06   7.372208e+03
  3.513040e-02   2.490236e+06   7.105744e+03
  3.632530e-02   2.196636e+06   6.322938e+03
  3.752020e-02   1.984038e+06   6.009174e+03
  3.871510e-02   1.770709e+06   5.632750e+03
  3.991000e-02   1.603831e+06   5.127567e+03
  4.110490e-02   1.452950e+06   4.915409e+03
  4.229990e-02   1.325208e+06   4.459882e+03
  4.349480e-02   1.196143e+06   4.183162e+03
  4.468970e-02   1.099813e+06   3.925176e+03
  4.588460e-02   1.003725e+06   3.610265e+03
  4.707950e-02   9.166835e+05   3.520087e+03
  4.827440e-02   8.482375e+05   3.255476e+03
  4.946930e-02   7.741312e+05   3.037023e+03
  5.066420e-02   7.064259e+05   2.931556e+03
  5.185910e-02   6.574514e+05   2.646328e+03
  5.305410e-02   6.049721e+05   2.624589e+03
  5.424900e-02   5.601467e+05   2.393527e+03
  5.544390e-02   5.146086e+05   2.314748e+03
  5.663880e-02   4.746165e+05   2.179250e+03
  5.783370e-02   4.401125e+05   2.063120e+03
  5.902860e-02   4.155452e+05   2.008919e+03
  6.022350e-02   3.840849e+05   1.833806e+03
  6.141840e-02   3.528713e+05   1.799076e+03
  6.261330e-02   3.250049e+05   1.693308e+03
  6.380830e-02   3.062109e+05   1.616097e+03
  6.500320e-02   2.840347e+05   1.556477e+03
  6.619810e-02   2.651218e+05   1.446208e+03
  6.739300e-02   2.466949e+05   1.429617e+03
  6.858790e-02   2.334167e+05   1.352373e+03
  6.978280e-02   2.173962e+05   1.279377e+03
  7.097770e-02   2.045704e+05   1.247172e+03
  7.217260e-02   1.907157e+05   1.170057e+03
  7.336750e-02   1.795097e+05   1.156924e+03
  7.456250e-02   1.672435e+05   1.082329e+03
  7.575740e-02   1.590260e+05   1.049065e+03
  7.695230e-02   1.512585e+05   1.008143e+03
  7.814720e-02   1.396996e+05   9.745403e+02
  7.934210e-02   1.329012e+05   9.505320e+02
  8.053700e-02   1.267046e+05   8.896866e+02
