Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.387596e+07   3.478591e+04
  2.318130e-02   1.177578e+07   2.600499e+04
  2.437620e-02   9.703620e+06   2.159348e+04
  2.557110e-02   8.284810e+06   1.706309e+04
  2.676600e-02   6.938852e+06   1.403003e+04
  2.796090e-02   5.890013e+06   1.208231e+04
  2.915580e-02   4.998972e+06   1.101560e+04
  3.035070e-02   4.273412e+06   9.932099e+03
  3.154570e-02   3.664601e+06   8.979976e+03
  3.274060e-02   3.204060e+06   8.558259e+03
  3.393550e-02   2.824607e+06   7.475827e+03
  3.513040e-02   2.496358e+06   7.180501e+03
  3.632530e-02   2.189767e+06   6.371634e+03
  3.752020e-02   1.999845e+06   6.089058e+03
  3.871510e-02   1.781863e+06   5.702905e+03
  3.991000e-02   1.607588e+06   5.181215e+03
  4.110490e-02   1.456008e+06   4.966247e+03
  4.229990e-02   1.332720e+06   4.514013e+03
  4.349480e-02   1.213039e+06   4.251700e+03
  4.468970e-02   1.100159e+06   3.962228e+03
  4.588460e-02   1.003395e+06   3.643172e+03
  4.707950e-02   9.273889e+05   3.573441e+03
  4.827440e-02   8.447863e+05   3.278999e+03
  4.946930e-02   7.757628e+05   3.068438e+03
  5.066420e-02   7.144194e+05   2.975456e+03
  5.185910e-02   6.593602e+05   2.674763e+03
  5.305410e-02   6.105238e+05   2.661075e+03
  5.424900e-02   5.611533e+05   2.417911e+03
  5.544390e-02   5.180323e+05   2.343990e+03
  5.663880e-02   4.786663e+05   2.208840e+03
  5.783370e-02   4.472853e+05   2.099168e+03
  5.902860e-02   4.113929e+05   2.017408e+03
  6.022350e-02   3.789395e+05   1.838386e+03
  6.141840e-02   3.530327e+05   1.816189e+03
  6.261330e-02   3.289177e+05   1.719281e+03
  6.380830e-02   3.067863e+05   1.632627e+03
  6.500320e-02   2.859950e+05   1.576334e+03
  6.619810e-02   2.665702e+05   1.463611e+03
  6.739300e-02   2.493205e+05   1.450543e+03
  6.858790e-02   2.351355e+05   1.369941e+03
  6.978280e-02   2.175081e+05   1.291583e+03
  7.097770e-02   2.039395e+05   1.256804e+03
  7.217260e-02   1.885686e+05   1.174250e+03
  7.336750e-02   1.770924e+05   1.159773e+03
  7.456250e-02   1.701839e+05   1.101935e+03
  7.575740e-02   1.589884e+05   1.058676e+03
  7.695230e-02   1.493358e+05   1.011013e+03
  7.814720e-02   1.406150e+05   9.868022e+02
  7.934210e-02   1.326649e+05   9.585005e+02
  8.053700e-02   1.255610e+05   8.938823e+02
  8.173190e-02   1.204668e+05   8.864082e+02
  8.292680e-02   1.152610e+05   8.462046e+02
  8.412170e-02   1.057543e+05   8.137833e+02
  8.531670e-02   1.019129e+05   8.010000e+02
  8.651160e-02   9.658379e+04   7.559000e+02
  8.770650e-02   9.162762e+04   7.447185e+02
  8.890140e-02   8.787612e+04   7.130040e+02
  9.009630e-02   8.346643e+04   6.906549e+02
  9.129120e-02   8.007732e+04   6.740381e+02
  9.248610e-02   7.523473e+04   6.456074e+02
  9.368100e-02   7.207159e+04   6.356399e+02
  9.487590e-02   6.902936e+04   6.070876e+02
  9.607090e-02   6.751018e+04   6.166663e+02
  9.726580e-02   6.437800e+04   5.979152e+02
  9.846070e-02   6.165320e+04   5.979551e+02
  9.965560e-02   5.768062e+04   5.783699e+02
  1.008510e-01   5.716662e+04   5.667846e+02
  1.020450e-01   5.406226e+04   5.585612e+02
  1.032400e-01   5.298865e+04   5.476442e+02
  1.044350e-01   4.986738e+04   5.331962e+02
  1.056300e-01   4.792533e+04   5.233446e+02
  1.068250e-01   4.707964e+04   5.162067e+02
  1.080200e-01   4.545778e+04   5.121861e+02
  1.092150e-01   4.388877e+04   4.931011e+02
  1.104100e-01   4.175287e+04   4.820885e+02
  1.116050e-01   3.926814e+04   4.647849e+02
  1.128000e-01   3.880227e+04   4.669553e+02
  1.139950e-01   3.811318e+04   4.638989e+02
  1.151890e-01   3.609592e+04   4.399978e+02
  1.163840e-01   3.527934e+04   4.426201e+02
  1.175790e-01   3.407106e+04   4.279662e+02
  1.187740e-01   3.221524e+04   4.195134e+02
  1.199690e-01   3.179185e+04   4.162649e+02
  1.211640e-01   3.034168e+04   3.988875e+02
  1.223590e-01   2.957633e+04   3.978319e+02
  1.235540e-01   2.926974e+04   3.944222e+02
  1.247490e-01   2.779541e+04   3.852308e+02
  1.259440e-01   2.696604e+04   3.735568e+02
  1.271390e-01   2.667801e+04   3.707425e+02
  1.283330e-01   2.560171e+04   3.692981e+02
  1.295280e-01   2.530762e+04   3.564454e+02
  1.307230e-01   2.441598e+04   3.578225e+02
  1.319180e-01   2.328663e+04   3.404681e+02
  1.331130e-01   2.280591e+04   3.387307e+02
  1.343080e-01   2.153097e+04   3.330639e+02
  1.355030e-01   2.149891e+04   3.267930e+02
  1.366980e-01   2.173545e+04   3.310394e+02
  1.378930e-01   2.045149e+04   3.154231e+02
  1.390880e-01   1.971179e+04   3.149154e+02
  1.402830e-01   1.983730e+04   3.074904e+02
  1.414770e-01   1.920124e+04   3.056298e+02
  1.426720e-01   1.905306e+04   3.028877e+02
  1.438670e-01   1.813195e+04   2.957781e+02
  1.450620e-01   1.774477e+04   2.947246e+02
  1.462570e-01   1.740438e+04   2.826339e+02
  1.474520e-01   1.713614e+04   2.860795e+02
  1.486470e-01   1.670272e+04   2.801744e+02
  1.498420e-01   1.634635e+04   2.763433e+02
  1.510370e-01   1.614278e+04   2.757134e+02
  1.522320e-01   1.604798e+04   2.693054e+02
  1.534270e-01   1.553167e+04   2.683064e+02
  1.546220e-01   1.471934e+04   2.589123e+02
  1.558160e-01   1.458026e+04   2.557153e+02
  1.570110e-01   1.443361e+04   2.568843e+02
  1.582060e-01   1.450804e+04   2.519805e+02
  1.594010e-01   1.408121e+04   2.547201e+02
  1.605960e-01   1.400060e+04   2.473049e+02
  1.617910e-01   1.305067e+04   2.389896e+02
  1.629860e-01   1.357819e+04   2.442262e+02
  1.641810e-01   1.280421e+04   2.360650e+02
  1.653760e-01   1.301480e+04   2.411388e+02
  1.665710e-01   1.255479e+04   2.297547e+02
  1.677660e-01   1.227729e+04   2.300958e+02
  1.689600e-01   1.193200e+04   2.266297e+02
  1.701550e-01   1.173523e+04   2.211441e+02
  1.713500e-01   1.120867e+04   2.188543e+02
  1.725450e-01   1.129188e+04   2.163529e+02
  1.737400e-01   1.161605e+04   2.217919e+02
  1.749350e-01   1.081255e+04   2.124605e+02
  1.761300e-01   1.090679e+04   2.120724e+02
  1.773250e-01   1.062851e+04   2.095331e+02
  1.785200e-01   1.066120e+04   2.060929e+02
  1.797150e-01   1.055762e+04   2.106895e+02
  1.809100e-01   1.010774e+04   2.061516e+02
  1.821040e-01   9.938993e+03   2.085613e+02
  1.832990e-01   1.030946e+04   2.138083e+02
  1.844940e-01   1.009349e+04   2.131688e+02
  1.856890e-01   9.547461e+03   2.099484e+02
  1.868840e-01   9.602773e+03   2.079224e+02
  1.880790e-01   9.385554e+03   2.091886e+02
  1.892740e-01   9.282980e+03   2.080424e+02
  1.904690e-01   9.617887e+03   2.113438e+02
  1.916640e-01   9.504158e+03   2.130527e+02
  1.928590e-01   9.310759e+03   2.041519e+02
  1.940540e-01   9.162932e+03   2.008140e+02
  1.952480e-01   8.833851e+03   1.948222e+02
  1.964430e-01   8.949813e+03   1.943317e+02
  1.976380e-01   8.510312e+03   1.900115e+02
  1.988330e-01   8.740800e+03   1.888606e+02
  2.000280e-01   8.508100e+03   1.884649e+02
  2.012230e-01   8.530213e+03   1.851334e+02
  2.024180e-01   8.194631e+03   1.816103e+02
  2.036130e-01   8.184665e+03   1.813449e+02
  2.048080e-01   8.083422e+03   1.784024e+02
  2.060030e-01   8.052554e+03   1.777645e+02
  2.071980e-01   8.225824e+03   1.761778e+02
  2.083930e-01   7.589007e+03   1.705933e+02
  2.095870e-01   8.218422e+03   1.755368e+02
  2.107820e-01   7.699598e+03   1.707232e+02
  2.119770e-01   7.652280e+03   1.683142e+02
  2.131720e-01   7.632996e+03   1.674450e+02
  2.143670e-01   7.496037e+03   1.650373e+02
  2.155620e-01   7.196244e+03   1.605920e+02
