Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.388957e+07   3.436518e+04
  2.318130e-02   1.169746e+07   2.559234e+04
  2.437620e-02   9.655928e+06   2.126939e+04
  2.557110e-02   8.235887e+06   1.679863e+04
  2.676600e-02   6.876265e+06   1.379092e+04
  2.796090e-02   5.869436e+06   1.190947e+04
  2.915580e-02   4.958843e+06   1.083329e+04
  3.035070e-02   4.226782e+06   9.753509e+03
  3.154570e-02   3.636964e+06   8.833518e+03
  3.274060e-02   3.179166e+06   8.417712e+03
  3.393550e-02   2.791803e+06   7.338798e+03
  3.513040e-02   2.477748e+06   7.063699e+03
  3.632530e-02   2.198163e+06   6.303534e+03
  3.752020e-02   1.987665e+06   5.994125e+03
  3.871510e-02   1.772838e+06   5.616887e+03
  3.991000e-02   1.591625e+06   5.090576e+03
  4.110490e-02   1.441062e+06   4.878541e+03
  4.229990e-02   1.328873e+06   4.450794e+03
  4.349480e-02   1.198696e+06   4.173323e+03
  4.468970e-02   1.097977e+06   3.908505e+03
  4.588460e-02   1.002143e+06   3.595100e+03
  4.707950e-02   9.089164e+05   3.493172e+03
  4.827440e-02   8.410766e+05   3.230636e+03
  4.946930e-02   7.744739e+05   3.027322e+03
  5.066420e-02   7.029868e+05   2.914425e+03
  5.185910e-02   6.554866e+05   2.633347e+03
  5.305410e-02   6.050767e+05   2.615853e+03
  5.424900e-02   5.573129e+05   2.379312e+03
  5.544390e-02   5.152053e+05   2.308180e+03
  5.663880e-02   4.729706e+05   2.168039e+03
  5.783370e-02   4.417703e+05   2.059944e+03
  5.902860e-02   4.079759e+05   1.983740e+03
  6.022350e-02   3.789183e+05   1.815210e+03
  6.141840e-02   3.506202e+05   1.787205e+03
  6.261330e-02   3.297023e+05   1.699677e+03
  6.380830e-02   3.041061e+05   1.605033e+03
  6.500320e-02   2.820896e+05   1.545841e+03
  6.619810e-02   2.623113e+05   1.433609e+03
  6.739300e-02   2.461072e+05   1.423037e+03
  6.858790e-02   2.297863e+05   1.337233e+03
  6.978280e-02   2.172525e+05   1.274586e+03
  7.097770e-02   2.032587e+05   1.238922e+03
  7.217260e-02   1.878754e+05   1.157346e+03
  7.336750e-02   1.765751e+05   1.143510e+03
  7.456250e-02   1.681136e+05   1.081435e+03
  7.575740e-02   1.593782e+05   1.046640e+03
