Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.391117e+07   3.439188e+04
  2.318130e-02   1.171415e+07   2.561058e+04
  2.437620e-02   9.722550e+06   2.134264e+04
  2.557110e-02   8.267718e+06   1.683106e+04
  2.676600e-02   6.917366e+06   1.383208e+04
  2.796090e-02   5.849137e+06   1.188886e+04
  2.915580e-02   4.971955e+06   1.084760e+04
  3.035070e-02   4.247511e+06   9.777396e+03
  3.154570e-02   3.653613e+06   8.853714e+03
  3.274060e-02   3.196149e+06   8.440166e+03
  3.393550e-02   2.805847e+06   7.357234e+03
  3.513040e-02   2.480124e+06   7.067086e+03
  3.632530e-02   2.184642e+06   6.284118e+03
  3.752020e-02   1.986978e+06   5.993089e+03
  3.871510e-02   1.764883e+06   5.604271e+03
  3.991000e-02   1.591577e+06   5.090498e+03
  4.110490e-02   1.452061e+06   4.897125e+03
  4.229990e-02   1.319810e+06   4.435590e+03
  4.349480e-02   1.195964e+06   4.168565e+03
  4.468970e-02   1.096085e+06   3.905136e+03
  4.588460e-02   1.004388e+06   3.599123e+03
  4.707950e-02   9.217642e+05   3.517774e+03
  4.827440e-02   8.439183e+05   3.236089e+03
  4.946930e-02   7.739650e+05   3.026327e+03
  5.066420e-02   7.132086e+05   2.935537e+03
  5.185910e-02   6.488428e+05   2.619968e+03
  5.305410e-02   6.015032e+05   2.608117e+03
  5.424900e-02   5.599641e+05   2.384965e+03
  5.544390e-02   5.137059e+05   2.304819e+03
  5.663880e-02   4.729507e+05   2.167994e+03
  5.783370e-02   4.426732e+05   2.062048e+03
  5.902860e-02   4.148050e+05   2.000274e+03
  6.022350e-02   3.766835e+05   1.809849e+03
  6.141840e-02   3.533440e+05   1.794133e+03
  6.261330e-02   3.258119e+05   1.689619e+03
  6.380830e-02   3.031235e+05   1.602438e+03
  6.500320e-02   2.828266e+05   1.547859e+03
  6.619810e-02   2.656647e+05   1.442744e+03
  6.739300e-02   2.450129e+05   1.419869e+03
  6.858790e-02   2.307746e+05   1.340106e+03
  6.978280e-02   2.192640e+05   1.280473e+03
  7.097770e-02   2.029944e+05   1.238116e+03
  7.217260e-02   1.901996e+05   1.164482e+03
  7.336750e-02   1.775823e+05   1.146767e+03
  7.456250e-02   1.692893e+05   1.085210e+03
  7.575740e-02   1.585534e+05   1.043928e+03
  7.695230e-02   1.506476e+05   1.002670e+03
  7.814720e-02   1.396451e+05   9.710229e+02
  7.934210e-02   1.321234e+05   9.445097e+02
  8.053700e-02   1.256608e+05   8.829886e+02
  8.173190e-02   1.182881e+05   8.673074e+02
  8.292680e-02   1.133971e+05   8.287765e+02
  8.412170e-02   1.071340e+05   8.087713e+02
  8.531670e-02   1.007768e+05   7.865035e+02
  8.651160e-02   9.774538e+04   7.508664e+02
  8.770650e-02   9.176245e+04   7.358915e+02
  8.890140e-02   8.802567e+04   7.046339e+02
  9.009630e-02   8.293437e+04   6.797900e+02
  9.129120e-02   7.889962e+04   6.606470e+02
  9.248610e-02   7.680549e+04   6.441066e+02
  9.368100e-02   7.228672e+04   6.285802e+02
  9.487590e-02   6.954205e+04   6.016730e+02
  9.607090e-02   6.737119e+04   6.082821e+02
  9.726580e-02   6.348866e+04   5.863018e+02
  9.846070e-02   6.098264e+04   5.872137e+02
  9.965560e-02   5.842120e+04   5.747491e+02
  1.008510e-01   5.622508e+04   5.550270e+02
  1.020450e-01   5.444935e+04   5.535060e+02
  1.032400e-01   5.265174e+04   5.390335e+02
  1.044350e-01   4.946560e+04   5.243638e+02
  1.056300e-01   4.832638e+04   5.189190e+02
  1.068250e-01   4.635516e+04   5.057763e+02
  1.080200e-01   4.447325e+04   5.002366e+02
  1.092150e-01   4.265651e+04   4.800144e+02
  1.104100e-01   4.190845e+04   4.769103e+02
  1.116050e-01   4.016374e+04   4.641424e+02
  1.128000e-01   3.921839e+04   4.635472e+02
  1.139950e-01   3.795861e+04   4.571337e+02
  1.151890e-01   3.637012e+04   4.361101e+02
  1.163840e-01   3.535570e+04   4.375250e+02
  1.175790e-01   3.407361e+04   4.225986e+02
  1.187740e-01   3.201707e+04   4.129602e+02
  1.199690e-01   3.153377e+04   4.093569e+02
  1.211640e-01   3.042165e+04   3.943885e+02
  1.223590e-01   2.970302e+04   3.936679e+02
  1.235540e-01   2.926349e+04   3.894191e+02
  1.247490e-01   2.736601e+04   3.774353e+02
  1.259440e-01   2.736657e+04   3.715871e+02
  1.271390e-01   2.572472e+04   3.594788e+02
  1.283330e-01   2.573555e+04   3.656046e+02
  1.295280e-01   2.475325e+04   3.480854e+02
  1.307230e-01   2.370332e+04   3.481268e+02
  1.319180e-01   2.347616e+04   3.375507e+02
  1.331130e-01   2.308928e+04   3.365413e+02
  1.343080e-01   2.230380e+04   3.347244e+02
  1.355030e-01   2.140217e+04   3.219555e+02
  1.366980e-01   2.111833e+04   3.222014e+02
  1.378930e-01   2.074179e+04   3.136581e+02
  1.390880e-01   2.007252e+04   3.137864e+02
  1.402830e-01   1.915084e+04   2.983228e+02
  1.414770e-01   1.926667e+04   3.022990e+02
  1.426720e-01   1.841711e+04   2.940441e+02
  1.438670e-01   1.825257e+04   2.930274e+02
  1.450620e-01   1.747297e+04   2.887799e+02
  1.462570e-01   1.729594e+04   2.782079e+02
  1.474520e-01   1.677293e+04   2.794712e+02
