Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.400588e+07   3.503013e+04
  2.318130e-02   1.177676e+07   2.606691e+04
  2.437620e-02   9.765726e+06   2.171314e+04
  2.557110e-02   8.306350e+06   1.712522e+04
  2.676600e-02   6.945503e+06   1.406958e+04
  2.796090e-02   5.862919e+06   1.208269e+04
  2.915580e-02   5.009559e+06   1.105305e+04
  3.035070e-02   4.268497e+06   9.949605e+03
  3.154570e-02   3.673364e+06   9.011738e+03
  3.274060e-02   3.211878e+06   8.588739e+03
  3.393550e-02   2.808694e+06   7.472178e+03
  3.513040e-02   2.493774e+06   7.193572e+03
  3.632530e-02   2.205350e+06   6.409223e+03
  3.752020e-02   2.004351e+06   6.110173e+03
  3.871510e-02   1.784818e+06   5.720982e+03
  3.991000e-02   1.607971e+06   5.193953e+03
  4.110490e-02   1.455595e+06   4.977157e+03
  4.229990e-02   1.341850e+06   4.540044e+03
  4.349480e-02   1.213376e+06   4.262237e+03
  4.468970e-02   1.103462e+06   3.977455e+03
  4.588460e-02   1.012320e+06   3.667900e+03
  4.707950e-02   9.348729e+05   3.596224e+03
  4.827440e-02   8.495999e+05   3.296020e+03
  4.946930e-02   7.796524e+05   3.083317e+03
  5.066420e-02   7.177407e+05   2.989341e+03
  5.185910e-02   6.608896e+05   2.684127e+03
  5.305410e-02   6.079414e+05   2.661652e+03
  5.424900e-02   5.592599e+05   2.419475e+03
  5.544390e-02   5.186899e+05   2.350963e+03
  5.663880e-02   4.757061e+05   2.207150e+03
  5.783370e-02   4.428477e+05   2.093615e+03
  5.902860e-02   4.130216e+05   2.026126e+03
  6.022350e-02   3.761445e+05   1.835878e+03
  6.141840e-02   3.516448e+05   1.816855e+03
  6.261330e-02   3.310994e+05   1.729008e+03
  6.380830e-02   3.067306e+05   1.636298e+03
  6.500320e-02   2.836771e+05   1.573606e+03
  6.619810e-02   2.655904e+05   1.464336e+03
  6.739300e-02   2.508613e+05   1.458422e+03
  6.858790e-02   2.318666e+05   1.363567e+03
  6.978280e-02   2.189121e+05   1.298776e+03
  7.097770e-02   2.025058e+05   1.255308e+03
  7.217260e-02   1.908036e+05   1.183951e+03
  7.336750e-02   1.788147e+05   1.168125e+03
  7.456250e-02   1.675616e+05   1.095970e+03
  7.575740e-02   1.591523e+05   1.061700e+03
  7.695230e-02   1.486531e+05   1.011058e+03
  7.814720e-02   1.408840e+05   9.900561e+02
  7.934210e-02   1.345735e+05   9.676286e+02
  8.053700e-02   1.264816e+05   8.992517e+02
  8.173190e-02   1.186327e+05   8.816922e+02
  8.292680e-02   1.133354e+05   8.410692e+02
  8.412170e-02   1.074953e+05   8.223738e+02
  8.531670e-02   1.011505e+05   7.998650e+02
  8.651160e-02   9.651907e+04   7.574143e+02
  8.770650e-02   9.032366e+04   7.411300e+02
  8.890140e-02   8.852021e+04   7.172862e+02
  9.009630e-02   8.255976e+04   6.885002e+02
  9.129120e-02   8.084000e+04   6.788246e+02
  9.248610e-02   7.627174e+04   6.515621e+02
  9.368100e-02   7.233594e+04   6.382942e+02
  9.487590e-02   6.977109e+04   6.117682e+02
  9.607090e-02   6.683601e+04   6.150148e+02
  9.726580e-02   6.331822e+04   5.943604e+02
  9.846070e-02   6.154577e+04   5.988314e+02
  9.965560e-02   5.946569e+04   5.886250e+02
  1.008510e-01   5.549788e+04   5.597572e+02
  1.020450e-01   5.385744e+04   5.588062e+02
  1.032400e-01   5.224170e+04   5.450426e+02
  1.044350e-01   5.080547e+04   5.394469e+02
  1.056300e-01   4.717372e+04   5.204391e+02
  1.068250e-01   4.740819e+04   5.192165e+02
  1.080200e-01   4.476621e+04   5.094640e+02
  1.092150e-01   4.300896e+04   4.892755e+02
  1.104100e-01   4.213298e+04   4.854107e+02
  1.116050e-01   4.060169e+04   4.737166e+02
  1.128000e-01   3.907435e+04   4.696857e+02
  1.139950e-01   3.676570e+04   4.566904e+02
  1.151890e-01   3.674995e+04   4.450047e+02
  1.163840e-01   3.468582e+04   4.399076e+02
  1.175790e-01   3.395520e+04   4.282374e+02
  1.187740e-01   3.243199e+04   4.219069e+02
  1.199690e-01   3.185862e+04   4.176765e+02
  1.211640e-01   3.063131e+04   4.017243e+02
  1.223590e-01   2.908583e+04   3.954421e+02
  1.235540e-01   2.894760e+04   3.931632e+02
  1.247490e-01   2.810798e+04   3.882970e+02
  1.259440e-01   2.659324e+04   3.718334e+02
  1.271390e-01   2.616627e+04   3.680284e+02
  1.283330e-01   2.594106e+04   3.726071e+02
  1.295280e-01   2.472506e+04   3.531431e+02
  1.307230e-01   2.341868e+04   3.512582e+02
  1.319180e-01   2.299560e+04   3.391254e+02
  1.331130e-01   2.247803e+04   3.370735e+02
  1.343080e-01   2.240309e+04   3.405370e+02
  1.355030e-01   2.177428e+04   3.296486e+02
  1.366980e-01   2.091534e+04   3.254936e+02
  1.378930e-01   2.038599e+04   3.156543e+02
  1.390880e-01   2.013267e+04   3.190041e+02
  1.402830e-01   1.982487e+04   3.081131e+02
  1.414770e-01   1.967240e+04   3.100805e+02
  1.426720e-01   1.861500e+04   3.000859e+02
  1.438670e-01   1.831383e+04   2.979532e+02
  1.450620e-01   1.769510e+04   2.950003e+02
  1.462570e-01   1.696482e+04   2.796948e+02
  1.474520e-01   1.675097e+04   2.835078e+02
  1.486470e-01   1.620490e+04   2.766132e+02
  1.498420e-01   1.615538e+04   2.753670e+02
  1.510370e-01   1.601495e+04   2.752620e+02
  1.522320e-01   1.530133e+04   2.635810e+02
  1.534270e-01   1.491524e+04   2.635431e+02
  1.546220e-01   1.488895e+04   2.610088e+02
  1.558160e-01   1.468460e+04   2.572289e+02
  1.570110e-01   1.446446e+04   2.577603e+02
  1.582060e-01   1.384170e+04   2.467016e+02
  1.594010e-01   1.374441e+04   2.522442e+02
  1.605960e-01   1.381163e+04   2.462048e+02
  1.617910e-01   1.327888e+04   2.416340e+02
  1.629860e-01   1.314307e+04   2.408433e+02
  1.641810e-01   1.279423e+04   2.365249e+02
  1.653760e-01   1.326877e+04   2.440498e+02
  1.665710e-01   1.244462e+04   2.292795e+02
  1.677660e-01   1.230446e+04   2.308891e+02
  1.689600e-01   1.228197e+04   2.304670e+02
  1.701550e-01   1.192837e+04   2.234780e+02
  1.713500e-01   1.178495e+04   2.249347e+02
  1.725450e-01   1.109489e+04   2.149590e+02
  1.737400e-01   1.137689e+04   2.200102e+02
  1.749350e-01   1.118196e+04   2.165648e+02
  1.761300e-01   1.110288e+04   2.144708e+02
  1.773250e-01   1.030478e+04   2.068000e+02
  1.785200e-01   1.031487e+04   2.031920e+02
  1.797150e-01   1.042966e+04   2.098986e+02
  1.809100e-01   1.035362e+04   2.091320e+02
  1.821040e-01   1.036369e+04   2.134688e+02
  1.832990e-01   1.006818e+04   2.117857e+02
  1.844940e-01   9.466828e+03   2.069283e+02
  1.856890e-01   9.652478e+03   2.115937e+02
  1.868840e-01   9.973414e+03   2.123927e+02
  1.880790e-01   9.584097e+03   2.118841e+02
  1.892740e-01   9.209352e+03   2.077004e+02
  1.904690e-01   9.070375e+03   2.057203e+02
  1.916640e-01   9.371136e+03   2.120514e+02
  1.928590e-01   9.241937e+03   2.038718e+02
  1.940540e-01   9.090887e+03   2.004909e+02
  1.952480e-01   9.384603e+03   2.012733e+02
  1.964430e-01   8.843355e+03   1.936243e+02
  1.976380e-01   8.695091e+03   1.925125e+02
  1.988330e-01   8.630048e+03   1.880993e+02
  2.000280e-01   8.363402e+03   1.872925e+02
  2.012230e-01   8.453100e+03   1.847258e+02
  2.024180e-01   8.224926e+03   1.823713e+02
  2.036130e-01   8.566131e+03   1.859568e+02
  2.048080e-01   8.176665e+03   1.798482e+02
  2.060030e-01   8.098156e+03   1.786841e+02
  2.071980e-01   7.684331e+03   1.706787e+02
  2.083930e-01   7.917360e+03   1.746524e+02
  2.095870e-01   7.691889e+03   1.702179e+02
  2.107820e-01   7.838348e+03   1.726575e+02
  2.119770e-01   7.535625e+03   1.674170e+02
  2.131720e-01   7.779461e+03   1.694393e+02
  2.143670e-01   7.739231e+03   1.680853e+02
  2.155620e-01   7.420780e+03   1.634596e+02
  2.167570e-01   7.169515e+03   1.615313e+02
  2.179520e-01   6.917518e+03   1.574605e+02
  2.191470e-01   7.494575e+03   1.638966e+02
  2.203420e-01   7.016908e+03   1.595576e+02
  2.215370e-01   7.240415e+03   1.592936e+02
  2.227310e-01   7.036436e+03   1.579727e+02
  2.239260e-01   7.051304e+03   1.569672e+02
  2.251210e-01   7.128505e+03   1.586464e+02
  2.263160e-01   6.805367e+03   1.536392e+02
  2.275110e-01   6.851308e+03   1.528183e+02
  2.287060e-01   6.891781e+03   1.547251e+02
  2.299010e-01   6.873049e+03   1.526214e+02
  2.310960e-01   6.539919e+03   1.503926e+02
  2.322910e-01   6.620874e+03   1.505522e+02
  2.334860e-01   6.559860e+03   1.483615e+02
  2.346810e-01   6.425740e+03   1.483170e+02
  2.358750e-01   6.779999e+03   1.495628e+02
  2.370700e-01   6.351639e+03   1.456783e+02
  2.382650e-01   6.393984e+03   1.452428e+02
  2.394600e-01   6.241940e+03   1.438067e+02
  2.406550e-01   6.332671e+03   1.453580e+02
  2.418500e-01   6.384790e+03   1.437418e+02
  2.430450e-01   6.302689e+03   1.444037e+02
  2.442400e-01   6.164640e+03   1.407613e+02
  2.454350e-01   6.261628e+03   1.426417e+02
  2.466300e-01   6.176422e+03   1.414736e+02
  2.478250e-01   6.058643e+03   1.380534e+02
  2.490190e-01   6.256069e+03   1.427746e+02
  2.502140e-01   5.827777e+03   1.351283e+02
  2.514090e-01   5.981844e+03   1.374501e+02
  2.526040e-01   5.705213e+03   1.343240e+02
  2.537990e-01   5.790831e+03   1.343439e+02
  2.549940e-01   6.182465e+03   1.405832e+02
  2.561890e-01   5.773975e+03   1.332732e+02
  2.573840e-01   5.759529e+03   1.333668e+02
  2.585790e-01   5.829346e+03   1.339107e+02
  2.597740e-01   5.709168e+03   1.320944e+02
  2.609690e-01   5.729812e+03   1.337224e+02
  2.621640e-01   5.762147e+03   1.316053e+02
  2.633580e-01   5.627709e+03   1.305596e+02
  2.645530e-01   5.711780e+03   1.312793e+02
  2.657480e-01   5.662411e+03   1.302134e+02
  2.669430e-01   5.761371e+03   1.319321e+02
  2.681380e-01   5.636496e+03   1.283012e+02
  2.693330e-01   5.528847e+03   1.299916e+02
  2.705280e-01   5.555250e+03   1.283272e+02
  2.717230e-01   5.602369e+03   1.286288e+02
  2.729180e-01   5.450217e+03   1.264759e+02
  2.741130e-01   5.359463e+03   1.245713e+02
  2.753080e-01   5.399939e+03   1.255800e+02
  2.765020e-01   5.322546e+03   1.242176e+02
  2.776970e-01   5.518709e+03   1.266412e+02
  2.788920e-01   5.326842e+03   1.235132e+02
  2.800870e-01   5.087570e+03   1.209271e+02
  2.812820e-01   5.230231e+03   1.228350e+02
  2.824770e-01   5.237249e+03   1.220277e+02
  2.836720e-01   5.194542e+03   1.218960e+02
  2.848670e-01   5.029311e+03   1.189391e+02
  2.860620e-01   5.130165e+03   1.209192e+02
  2.872570e-01   5.156956e+03   1.197997e+02
  2.884520e-01   5.203718e+03   1.195704e+02
  2.896460e-01   5.214503e+03   1.217624e+02
  2.908410e-01   5.170871e+03   1.199612e+02
  2.920360e-01   4.935892e+03   1.168606e+02
  2.932310e-01   4.968538e+03   1.171096e+02
  2.944260e-01   5.138633e+03   1.185453e+02
  2.956210e-01   5.009942e+03   1.175965e+02
  2.968160e-01   4.798895e+03   1.140334e+02
  2.980110e-01   4.869984e+03   1.151390e+02
  2.992060e-01   5.039353e+03   1.167218e+02
  3.004010e-01   4.891063e+03   1.161252e+02
  3.015960e-01   4.717541e+03   1.133226e+02
  3.027900e-01   4.810357e+03   1.126946e+02
  3.039850e-01   4.983658e+03   1.150926e+02
  3.051800e-01   4.723214e+03   1.117940e+02
  3.063750e-01   4.706931e+03   1.125493e+02
  3.075700e-01   4.960589e+03   1.143770e+02
  3.087650e-01   4.712895e+03   1.108686e+02
  3.099600e-01   4.930690e+03   1.137784e+02
  3.111550e-01   4.917356e+03   1.135615e+02
  3.123500e-01   4.780598e+03   1.115392e+02
  3.135450e-01   4.931712e+03   1.126091e+02
  3.147400e-01   4.707705e+03   1.107465e+02
  3.159350e-01   4.894564e+03   1.126751e+02
  3.171290e-01   4.754169e+03   1.102643e+02
  3.183240e-01   4.650655e+03   1.098921e+02
  3.195190e-01   4.586941e+03   1.077269e+02
  3.207140e-01   4.829288e+03   1.116766e+02
  3.219090e-01   4.612368e+03   1.079674e+02
  3.231040e-01   4.876803e+03   1.106651e+02
  3.242990e-01   4.612748e+03   1.077992e+02
  3.254940e-01   4.556110e+03   1.067382e+02
  3.266890e-01   4.493562e+03   1.077249e+02
  3.278840e-01   4.679620e+03   1.071606e+02
  3.290790e-01   4.580957e+03   1.070855e+02
  3.302730e-01   4.554170e+03   1.065467e+02
  3.314680e-01   4.592147e+03   1.067652e+02
  3.326630e-01   4.626238e+03   1.074997e+02
  3.338580e-01   4.615405e+03   1.054967e+02
  3.350530e-01   4.342223e+03   1.033863e+02
  3.362480e-01   4.365519e+03   1.035018e+02
  3.374430e-01   4.614574e+03   1.058656e+02
  3.386380e-01   4.479443e+03   1.046268e+02
  3.398330e-01   4.443253e+03   1.032477e+02
  3.410280e-01   4.335250e+03   1.032495e+02
  3.422230e-01   4.328909e+03   1.018074e+02
  3.434170e-01   4.299322e+03   1.009999e+02
  3.446120e-01   4.442667e+03   1.033458e+02
  3.458070e-01   4.371794e+03   1.020012e+02
  3.470020e-01   4.337287e+03   1.017515e+02
  3.481970e-01   4.493890e+03   1.027460e+02
  3.493920e-01   4.486113e+03   1.028103e+02
  3.505870e-01   4.268012e+03   1.006820e+02
  3.517820e-01   4.192130e+03   9.933512e+01
  3.529770e-01   4.320054e+03   1.007392e+02
  3.541720e-01   4.459168e+03   1.009544e+02
  3.553670e-01   4.248190e+03   9.979869e+01
  3.565610e-01   4.523523e+03   1.027278e+02
  3.577560e-01   4.205469e+03   9.890430e+01
  3.589510e-01   4.244599e+03   9.916854e+01
  3.601460e-01   4.389332e+03   9.968035e+01
  3.613410e-01   4.234588e+03   9.866574e+01
  3.625360e-01   4.236989e+03   9.845480e+01
  3.637310e-01   4.333863e+03   9.919098e+01
  3.649260e-01   4.353570e+03   9.951179e+01
  3.661210e-01   4.318079e+03   9.872636e+01
  3.673160e-01   4.374822e+03   1.002861e+02
  3.685110e-01   4.211662e+03   9.690307e+01
  3.697060e-01   4.169829e+03   9.637521e+01
  3.709000e-01   4.198161e+03   9.757888e+01
  3.720950e-01   4.293001e+03   9.746756e+01
  3.732900e-01   4.237857e+03   9.747997e+01
  3.744850e-01   4.222379e+03   9.581481e+01
  3.756800e-01   4.063594e+03   9.540951e+01
  3.768750e-01   4.030485e+03   9.408909e+01
  3.780700e-01   4.228963e+03   9.651243e+01
