Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.386196e+07   3.472791e+04
  2.318130e-02   1.170279e+07   2.589411e+04
  2.437620e-02   9.699846e+06   2.156416e+04
  2.557110e-02   8.286019e+06   1.704448e+04
  2.676600e-02   6.933216e+06   1.400801e+04
  2.796090e-02   5.854605e+06   1.203193e+04
  2.915580e-02   4.976860e+06   1.097842e+04
  3.035070e-02   4.257578e+06   9.902148e+03
  3.154570e-02   3.687999e+06   8.998118e+03
  3.274060e-02   3.213303e+06   8.560623e+03
  3.393550e-02   2.827473e+06   7.470918e+03
  3.513040e-02   2.486307e+06   7.157695e+03
  3.632530e-02   2.208294e+06   6.391088e+03
  3.752020e-02   1.993326e+06   6.072053e+03
  3.871510e-02   1.779978e+06   5.693254e+03
  3.991000e-02   1.608698e+06   5.176973e+03
  4.110490e-02   1.456966e+06   4.962099e+03
  4.229990e-02   1.322528e+06   4.491487e+03
  4.349480e-02   1.196912e+06   4.218428e+03
  4.468970e-02   1.102612e+06   3.962028e+03
  4.588460e-02   1.004413e+06   3.640779e+03
  4.707950e-02   9.234189e+05   3.561636e+03
  4.827440e-02   8.487261e+05   3.282813e+03
  4.946930e-02   7.776761e+05   3.068645e+03
  5.066420e-02   7.119543e+05   2.966863e+03
  5.185910e-02   6.640296e+05   2.681094e+03
  5.305410e-02   6.014666e+05   2.638189e+03
  5.424900e-02   5.568444e+05   2.405808e+03
  5.544390e-02   5.205946e+05   2.347046e+03
  5.663880e-02   4.747160e+05   2.197147e+03
  5.783370e-02   4.417042e+05   2.083603e+03
  5.902860e-02   4.126570e+05   2.018154e+03
  6.022350e-02   3.798200e+05   1.838379e+03
  6.141840e-02   3.517456e+05   1.810766e+03
  6.261330e-02   3.272383e+05   1.712890e+03
  6.380830e-02   3.049546e+05   1.625853e+03
  6.500320e-02   2.826168e+05   1.565174e+03
  6.619810e-02   2.635851e+05   1.453700e+03
  6.739300e-02   2.498857e+05   1.450497e+03
  6.858790e-02   2.297233e+05   1.352508e+03
  6.978280e-02   2.165278e+05   1.287170e+03
  7.097770e-02   2.022134e+05   1.250018e+03
  7.217260e-02   1.900998e+05   1.177636e+03
  7.336750e-02   1.779233e+05   1.161138e+03
  7.456250e-02   1.674960e+05   1.091926e+03
  7.575740e-02   1.566072e+05   1.049496e+03
  7.695230e-02   1.496304e+05   1.010832e+03
  7.814720e-02   1.411171e+05   9.874121e+02
  7.934210e-02   1.344291e+05   9.637300e+02
  8.053700e-02   1.259357e+05   8.941733e+02
  8.173190e-02   1.175707e+05   8.746699e+02
  8.292680e-02   1.109394e+05   8.292234e+02
  8.412170e-02   1.067703e+05   8.167319e+02
  8.531670e-02   1.009536e+05   7.962936e+02
  8.651160e-02   9.661887e+04   7.551576e+02
  8.770650e-02   9.118506e+04   7.420535e+02
