Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.395810e+07   3.484813e+04
  2.318130e-02   1.172628e+07   2.592008e+04
  2.437620e-02   9.708571e+06   2.157386e+04
  2.557110e-02   8.279042e+06   1.703730e+04
  2.676600e-02   6.943829e+06   1.401873e+04
  2.796090e-02   5.889643e+06   1.206788e+04
  2.915580e-02   4.994224e+06   1.099756e+04
  3.035070e-02   4.273239e+06   9.920342e+03
  3.154570e-02   3.681808e+06   8.990563e+03
  3.274060e-02   3.197361e+06   8.539361e+03
  3.393550e-02   2.808385e+06   7.445657e+03
  3.513040e-02   2.505780e+06   7.185669e+03
  3.632530e-02   2.206445e+06   6.388411e+03
  3.752020e-02   1.987334e+06   6.062918e+03
  3.871510e-02   1.788172e+06   5.706344e+03
  3.991000e-02   1.608598e+06   5.176812e+03
  4.110490e-02   1.458622e+06   4.964918e+03
  4.229990e-02   1.330399e+06   4.504833e+03
  4.349480e-02   1.208345e+06   4.238528e+03
  4.468970e-02   1.100718e+06   3.958624e+03
  4.588460e-02   1.007145e+06   3.645727e+03
  4.707950e-02   9.240233e+05   3.562801e+03
  4.827440e-02   8.486626e+05   3.282690e+03
  4.946930e-02   7.754239e+05   3.064198e+03
  5.066420e-02   7.158365e+05   2.974940e+03
  5.185910e-02   6.562896e+05   2.665423e+03
  5.305410e-02   6.068475e+05   2.649964e+03
  5.424900e-02   5.643802e+05   2.422032e+03
  5.544390e-02   5.176318e+05   2.340357e+03
  5.663880e-02   4.775430e+05   2.203679e+03
  5.783370e-02   4.443088e+05   2.089737e+03
  5.902860e-02   4.140289e+05   2.021506e+03
  6.022350e-02   3.820534e+05   1.843776e+03
  6.141840e-02   3.505244e+05   1.807620e+03
  6.261330e-02   3.298026e+05   1.719589e+03
  6.380830e-02   3.063502e+05   1.629568e+03
  6.500320e-02   2.834489e+05   1.567476e+03
  6.619810e-02   2.662308e+05   1.460978e+03
  6.739300e-02   2.467873e+05   1.441476e+03
  6.858790e-02   2.294685e+05   1.351757e+03
  6.978280e-02   2.163824e+05   1.286738e+03
  7.097770e-02   2.043770e+05   1.256688e+03
  7.217260e-02   1.908876e+05   1.180074e+03
  7.336750e-02   1.788856e+05   1.164274e+03
  7.456250e-02   1.683502e+05   1.094707e+03
  7.575740e-02   1.570221e+05   1.050885e+03
  7.695230e-02   1.504908e+05   1.013734e+03
  7.814720e-02   1.401429e+05   9.839980e+02
  7.934210e-02   1.351200e+05   9.662034e+02
  8.053700e-02   1.234025e+05   8.851344e+02
  8.173190e-02   1.204143e+05   8.851843e+02
  8.292680e-02   1.127431e+05   8.359369e+02
  8.412170e-02   1.070765e+05   8.179020e+02
  8.531670e-02   1.023040e+05   8.016017e+02
  8.651160e-02   9.708514e+04   7.569776e+02
  8.770650e-02   9.169232e+04   7.441146e+02
  8.890140e-02   8.771793e+04   7.115332e+02
  9.009630e-02   8.440125e+04   6.937037e+02
  9.129120e-02   8.068355e+04   6.757976e+02
  9.248610e-02   7.599386e+04   6.481014e+02
  9.368100e-02   7.273175e+04   6.378015e+02
  9.487590e-02   6.953999e+04   6.086200e+02
  9.607090e-02   6.733632e+04   6.151552e+02
  9.726580e-02   6.370750e+04   5.941013e+02
  9.846070e-02   6.100644e+04   5.941184e+02
  9.965560e-02   5.990712e+04   5.887412e+02
  1.008510e-01   5.578906e+04   5.592625e+02
  1.020450e-01   5.380412e+04   5.565777e+02
  1.032400e-01   5.090597e+04   5.361495e+02
  1.044350e-01   5.076385e+04   5.373415e+02
  1.056300e-01   4.747178e+04   5.202563e+02
  1.068250e-01   4.686851e+04   5.144487e+02
  1.080200e-01   4.615812e+04   5.155160e+02
  1.092150e-01   4.278075e+04   4.862705e+02
  1.104100e-01   4.166132e+04   4.809994e+02
  1.116050e-01   4.007693e+04   4.690007e+02
  1.128000e-01   3.988937e+04   4.729005e+02
  1.139950e-01   3.771472e+04   4.609306e+02
  1.151890e-01   3.615645e+04   4.398542e+02
  1.163840e-01   3.467652e+04   4.383116e+02
  1.175790e-01   3.435116e+04   4.292218e+02
  1.187740e-01   3.166070e+04   4.154031e+02
  1.199690e-01   3.112521e+04   4.113982e+02
  1.211640e-01   3.096694e+04   4.025077e+02
  1.223590e-01   2.965704e+04   3.979108e+02
  1.235540e-01   2.900017e+04   3.921449e+02
  1.247490e-01   2.802906e+04   3.863965e+02
  1.259440e-01   2.706338e+04   3.737950e+02
  1.271390e-01   2.634867e+04   3.680183e+02
  1.283330e-01   2.523392e+04   3.662094e+02
  1.295280e-01   2.484807e+04   3.527834e+02
  1.307230e-01   2.451615e+04   3.581386e+02
  1.319180e-01   2.340629e+04   3.409447e+02
  1.331130e-01   2.250190e+04   3.360740e+02
  1.343080e-01   2.221595e+04   3.379267e+02
  1.355030e-01   2.177104e+04   3.284722e+02
  1.366980e-01   2.044749e+04   3.207080e+02
  1.378930e-01   2.097178e+04   3.190385e+02
  1.390880e-01   1.966595e+04   3.141830e+02
  1.402830e-01   1.977215e+04   3.066279e+02
  1.414770e-01   1.884111e+04   3.023979e+02
  1.426720e-01   1.842268e+04   2.974885e+02
  1.438670e-01   1.860966e+04   2.993005e+02
  1.450620e-01   1.770839e+04   2.940798e+02
  1.462570e-01   1.724942e+04   2.810456e+02
  1.474520e-01   1.734883e+04   2.875145e+02
  1.486470e-01   1.659823e+04   2.789718e+02
  1.498420e-01   1.606131e+04   2.736046e+02
  1.510370e-01   1.610054e+04   2.750321e+02
  1.522320e-01   1.550568e+04   2.644081e+02
  1.534270e-01   1.514412e+04   2.646295e+02
  1.546220e-01   1.518945e+04   2.627084e+02
  1.558160e-01   1.441659e+04   2.539802e+02
  1.570110e-01   1.457337e+04   2.578247e+02
  1.582060e-01   1.387612e+04   2.461450e+02
  1.594010e-01   1.364393e+04   2.504421e+02
  1.605960e-01   1.374578e+04   2.447589e+02
  1.617910e-01   1.374513e+04   2.449805e+02
  1.629860e-01   1.308205e+04   2.394439e+02
  1.641810e-01   1.328246e+04   2.401534e+02
  1.653760e-01   1.306031e+04   2.412790e+02
  1.665710e-01   1.254656e+04   2.294122e+02
  1.677660e-01   1.175827e+04   2.249176e+02
  1.689600e-01   1.169383e+04   2.240953e+02
  1.701550e-01   1.179109e+04   2.214119e+02
  1.713500e-01   1.187326e+04   2.249870e+02
  1.725450e-01   1.132766e+04   2.164432e+02
  1.737400e-01   1.148341e+04   2.202654e+02
  1.749350e-01   1.067079e+04   2.108176e+02
  1.761300e-01   1.077447e+04   2.105368e+02
  1.773250e-01   1.073155e+04   2.103013e+02
  1.785200e-01   1.076360e+04   2.068394e+02
  1.797150e-01   1.023105e+04   2.071640e+02
  1.809100e-01   1.011779e+04   2.060141e+02
  1.821040e-01   9.876582e+03   2.076636e+02
  1.832990e-01   9.878490e+03   2.090481e+02
  1.844940e-01   1.018680e+04   2.139027e+02
  1.856890e-01   9.801619e+03   2.124770e+02
  1.868840e-01   9.580441e+03   2.074388e+02
  1.880790e-01   9.438153e+03   2.095299e+02
  1.892740e-01   9.256740e+03   2.075064e+02
  1.904690e-01   9.183158e+03   2.062720e+02
  1.916640e-01   9.586883e+03   2.137290e+02
  1.928590e-01   9.673175e+03   2.078451e+02
  1.940540e-01   9.211875e+03   2.011154e+02
  1.952480e-01   8.993345e+03   1.963444e+02
  1.964430e-01   8.756398e+03   1.919967e+02
  1.976380e-01   9.002660e+03   1.952033e+02
  1.988330e-01   8.423276e+03   1.851829e+02
  2.000280e-01   8.734050e+03   1.907289e+02
  2.012230e-01   8.662705e+03   1.863486e+02
  2.024180e-01   8.428551e+03   1.839699e+02
  2.036130e-01   8.117527e+03   1.803895e+02
  2.048080e-01   8.229609e+03   1.797990e+02
  2.060030e-01   8.080808e+03   1.778689e+02
  2.071980e-01   8.101287e+03   1.746356e+02
  2.083930e-01   7.862122e+03   1.734339e+02
  2.095870e-01   7.806550e+03   1.708826e+02
  2.107820e-01   7.791215e+03   1.715361e+02
  2.119770e-01   7.601243e+03   1.675567e+02
  2.131720e-01   7.413686e+03   1.648300e+02
  2.143670e-01   7.612734e+03   1.661235e+02
  2.155620e-01   7.540629e+03   1.641985e+02
  2.167570e-01   7.376086e+03   1.632693e+02
  2.179520e-01   7.093486e+03   1.588935e+02
  2.191470e-01   7.545504e+03   1.638779e+02
  2.203420e-01   7.274197e+03   1.618888e+02
  2.215370e-01   7.162060e+03   1.578757e+02
  2.227310e-01   7.054260e+03   1.576199e+02
  2.239260e-01   7.081915e+03   1.567578e+02
  2.251210e-01   6.857888e+03   1.550622e+02
  2.263160e-01   6.864664e+03   1.537679e+02
  2.275110e-01   6.837357e+03   1.521292e+02
  2.287060e-01   6.916137e+03   1.544566e+02
  2.299010e-01   7.050582e+03   1.540398e+02
  2.310960e-01   6.820551e+03   1.530488e+02
  2.322910e-01   6.567883e+03   1.494245e+02
  2.334860e-01   6.617386e+03   1.484899e+02
  2.346810e-01   6.567883e+03   1.494245e+02
  2.358750e-01   6.486977e+03   1.457840e+02
  2.370700e-01   6.549532e+03   1.474133e+02
  2.382650e-01   6.493530e+03   1.458576e+02
  2.394600e-01   6.461593e+03   1.458038e+02
  2.406550e-01   6.318308e+03   1.446857e+02
  2.418500e-01   6.741933e+03   1.471912e+02
  2.430450e-01   6.196294e+03   1.426794e+02
  2.442400e-01   6.239723e+03   1.411211e+02
  2.454350e-01   6.156634e+03   1.409465e+02
  2.466300e-01   5.895206e+03   1.377324e+02
  2.478250e-01   6.022621e+03   1.371614e+02
  2.490190e-01   6.044169e+03   1.398454e+02
  2.502140e-01   6.300491e+03   1.400109e+02
  2.514090e-01   5.871112e+03   1.356961e+02
  2.526040e-01   5.882102e+03   1.359138e+02
  2.537990e-01   6.022786e+03   1.365293e+02
  2.549940e-01   5.910773e+03   1.369792e+02
  2.561890e-01   5.794785e+03   1.330466e+02
  2.573840e-01   5.943214e+03   1.350033e+02
  2.585790e-01   5.889481e+03   1.341293e+02
  2.597740e-01   5.869645e+03   1.334700e+02
  2.609690e-01   5.847888e+03   1.346211e+02
  2.621640e-01   5.707021e+03   1.305165e+02
  2.633580e-01   5.555360e+03   1.292643e+02
  2.645530e-01   5.707886e+03   1.307759e+02
  2.657480e-01   5.477204e+03   1.276186e+02
  2.669430e-01   5.547170e+03   1.290040e+02
  2.681380e-01   5.669674e+03   1.282285e+02
  2.693330e-01   5.617742e+03   1.305746e+02
  2.705280e-01   5.460562e+03   1.267843e+02
  2.717230e-01   5.481168e+03   1.267852e+02
  2.729180e-01   5.563745e+03   1.273398e+02
  2.741130e-01   5.230064e+03   1.226283e+02
  2.753080e-01   5.324563e+03   1.242647e+02
  2.765020e-01   5.374654e+03   1.243880e+02
  2.776970e-01   5.252225e+03   1.231141e+02
  2.788920e-01   5.340869e+03   1.232435e+02
  2.800870e-01   5.334649e+03   1.233960e+02
  2.812820e-01   5.236712e+03   1.224815e+02
  2.824770e-01   5.045423e+03   1.193535e+02
  2.836720e-01   5.087289e+03   1.202095e+02
  2.848670e-01   5.156227e+03   1.200097e+02
  2.860620e-01   5.190600e+03   1.212043e+02
  2.872570e-01   5.159668e+03   1.194124e+02
  2.884520e-01   5.238349e+03   1.195484e+02
  2.896460e-01   5.293882e+03   1.222570e+02
  2.908410e-01   5.159668e+03   1.194124e+02
  2.920360e-01   4.912446e+03   1.161754e+02
  2.932310e-01   5.120265e+03   1.184688e+02
  2.944260e-01   4.996870e+03   1.164901e+02
  2.956210e-01   5.079149e+03   1.179922e+02
  2.968160e-01   4.945698e+03   1.153599e+02
  2.980110e-01   5.027933e+03   1.165824e+02
  2.992060e-01   4.727675e+03   1.126595e+02
  3.004010e-01   4.974667e+03   1.167042e+02
  3.015960e-01   4.908993e+03   1.151952e+02
  3.027900e-01   5.033726e+03   1.148786e+02
  3.039850e-01   4.856509e+03   1.132179e+02
  3.051800e-01   4.692889e+03   1.110451e+02
  3.063750e-01   4.711506e+03   1.122105e+02
  3.075700e-01   4.899793e+03   1.132768e+02
  3.087650e-01   4.757713e+03   1.110053e+02
  3.099600e-01   4.695537e+03   1.106441e+02
  3.111550e-01   4.906488e+03   1.130395e+02
  3.123500e-01   4.845446e+03   1.119008e+02
  3.135450e-01   4.915178e+03   1.120273e+02
  3.147400e-01   4.594661e+03   1.090265e+02
  3.159350e-01   4.832083e+03   1.115624e+02
  3.171290e-01   4.718461e+03   1.094656e+02
  3.183240e-01   4.809022e+03   1.113570e+02
  3.195190e-01   4.592624e+03   1.074170e+02
  3.207140e-01   4.521194e+03   1.076780e+02
