Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.389735e+07   3.425822e+04
  2.318130e-02   1.175166e+07   2.556456e+04
  2.437620e-02   9.711060e+06   2.125768e+04
  2.557110e-02   8.244502e+06   1.675041e+04
  2.676600e-02   6.922306e+06   1.379008e+04
  2.796090e-02   5.882731e+06   1.188251e+04
  2.915580e-02   4.973921e+06   1.081295e+04
  3.035070e-02   4.251250e+06   9.748522e+03
  3.154570e-02   3.662263e+06   8.834123e+03
  3.274060e-02   3.194362e+06   8.409187e+03
  3.393550e-02   2.793073e+06   7.315570e+03
  3.513040e-02   2.482330e+06   7.046247e+03
  3.632530e-02   2.194247e+06   6.276556e+03
  3.752020e-02   1.977454e+06   5.958430e+03
  3.871510e-02   1.776333e+06   5.603352e+03
  3.991000e-02   1.599573e+06   5.085961e+03
  4.110490e-02   1.448937e+06   4.875262e+03
  4.229990e-02   1.326759e+06   4.432168e+03
  4.349480e-02   1.200911e+06   4.163010e+03
  4.468970e-02   1.101597e+06   3.901664e+03
  4.588460e-02   9.975218e+05   3.574635e+03
  4.707950e-02   9.195222e+05   3.501576e+03
  4.827440e-02   8.446246e+05   3.226462e+03
  4.946930e-02   7.699814e+05   3.008291e+03
  5.066420e-02   6.996303e+05   2.897597e+03
  5.185910e-02   6.543995e+05   2.622238e+03
  5.305410e-02   6.028774e+05   2.602238e+03
  5.424900e-02   5.556070e+05   2.367610e+03
  5.544390e-02   5.169237e+05   2.304185e+03
  5.663880e-02   4.713963e+05   2.157087e+03
  5.783370e-02   4.406008e+05   2.050238e+03
  5.902860e-02   4.096392e+05   1.981038e+03
  6.022350e-02   3.782869e+05   1.807546e+03
  6.141840e-02   3.484810e+05   1.775701e+03
  6.261330e-02   3.256681e+05   1.683517e+03
  6.380830e-02   3.034687e+05   1.597912e+03
  6.500320e-02   2.827876e+05   1.542503e+03
  6.619810e-02   2.644182e+05   1.434473e+03
  6.739300e-02   2.470803e+05   1.421011e+03
  6.858790e-02   2.326591e+05   1.341002e+03
  6.978280e-02   2.163903e+05   1.267740e+03
  7.097770e-02   2.035173e+05   1.235505e+03
  7.217260e-02   1.907526e+05   1.162219e+03
  7.336750e-02   1.794689e+05   1.148932e+03
  7.456250e-02   1.682051e+05   1.078060e+03
  7.575740e-02   1.585993e+05   1.040538e+03
  7.695230e-02   1.481559e+05   9.909707e+02
  7.814720e-02   1.388671e+05   9.650299e+02
  7.934210e-02   1.343672e+05   9.492654e+02
  8.053700e-02   1.268373e+05   8.841036e+02
  8.173190e-02   1.181061e+05   8.637003e+02
  8.292680e-02   1.114681e+05   8.189099e+02
  8.412170e-02   1.063781e+05   8.031798e+02
  8.531670e-02   1.027403e+05   7.914349e+02
  8.651160e-02   9.652201e+04   7.436219e+02
  8.770650e-02   9.132860e+04   7.316597e+02
  8.890140e-02   8.744076e+04   6.999069e+02
  9.009630e-02   8.282656e+04   6.770438e+02
  9.129120e-02   7.972790e+04   6.618532e+02
  9.248610e-02   7.524991e+04   6.353881e+02
  9.368100e-02   7.326843e+04   6.306876e+02
  9.487590e-02   6.971224e+04   6.003655e+02
