Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.394462e+07   3.435523e+04
  2.318130e-02   1.174497e+07   2.558618e+04
  2.437620e-02   9.707100e+06   2.127737e+04
  2.557110e-02   8.301970e+06   1.682769e+04
  2.676600e-02   6.918638e+06   1.380202e+04
  2.796090e-02   5.848482e+06   1.186127e+04
  2.915580e-02   4.982936e+06   1.083498e+04
  3.035070e-02   4.234654e+06   9.740476e+03
  3.154570e-02   3.676337e+06   8.861088e+03
  3.274060e-02   3.196220e+06   8.421142e+03
  3.393550e-02   2.794687e+06   7.325957e+03
  3.513040e-02   2.490893e+06   7.066370e+03
  3.632530e-02   2.188540e+06   6.275476e+03
  3.752020e-02   1.981802e+06   5.971721e+03
  3.871510e-02   1.765879e+06   5.593155e+03
  3.991000e-02   1.596774e+06   5.087254e+03
  4.110490e-02   1.437320e+06   4.861168e+03
  4.229990e-02   1.322593e+06   4.430207e+03
  4.349480e-02   1.197683e+06   4.162112e+03
  4.468970e-02   1.087427e+06   3.880873e+03
  4.588460e-02   9.954777e+05   3.575008e+03
  4.707950e-02   9.151877e+05   3.497263e+03
  4.827440e-02   8.420514e+05   3.225186e+03
  4.946930e-02   7.688138e+05   3.009407e+03
  5.066420e-02   7.085622e+05   2.919332e+03
  5.185910e-02   6.532683e+05   2.622933e+03
  5.305410e-02   6.060426e+05   2.612010e+03
  5.424900e-02   5.596347e+05   2.378863e+03
  5.544390e-02   5.124520e+05   2.296790e+03
  5.663880e-02   4.715526e+05   2.159884e+03
  5.783370e-02   4.416933e+05   2.055099e+03
  5.902860e-02   4.089432e+05   1.981592e+03
  6.022350e-02   3.776279e+05   1.808012e+03
  6.141840e-02   3.491697e+05   1.779464e+03
  6.261330e-02   3.278615e+05   1.691087e+03
  6.380830e-02   3.040035e+05   1.601127e+03
  6.500320e-02   2.842875e+05   1.548337e+03
  6.619810e-02   2.639244e+05   1.434753e+03
  6.739300e-02   2.474591e+05   1.423708e+03
  6.858790e-02   2.298234e+05   1.334312e+03
  6.978280e-02   2.185473e+05   1.275483e+03
  7.097770e-02   2.018052e+05   1.231688e+03
  7.217260e-02   1.872949e+05   1.152939e+03
  7.336750e-02   1.786881e+05   1.147726e+03
  7.456250e-02   1.672214e+05   1.076119e+03
  7.575740e-02   1.563239e+05   1.034215e+03
  7.695230e-02   1.485310e+05   9.933461e+02
  7.814720e-02   1.418161e+05   9.763253e+02
  7.934210e-02   1.336831e+05   9.479165e+02
  8.053700e-02   1.246969e+05   8.776032e+02
  8.173190e-02   1.182340e+05   8.651450e+02
  8.292680e-02   1.130890e+05   8.257752e+02
  8.412170e-02   1.062298e+05   8.035272e+02
  8.531670e-02   1.003942e+05   7.832307e+02
  8.651160e-02   9.714806e+04   7.468731e+02
  8.770650e-02   9.120624e+04   7.319961e+02
  8.890140e-02   8.799795e+04   7.029272e+02
  9.009630e-02   8.244817e+04   6.762592e+02
  9.129120e-02   7.913734e+04   6.601429e+02
  9.248610e-02   7.535563e+04   6.365531e+02
  9.368100e-02   7.210654e+04   6.263743e+02
  9.487590e-02   6.877654e+04   5.969970e+02
  9.607090e-02   6.619705e+04   6.015926e+02
  9.726580e-02   6.233901e+04   5.796532e+02
  9.846070e-02   6.029580e+04   5.825749e+02
  9.965560e-02   5.856776e+04   5.741661e+02
  1.008510e-01   5.602521e+04   5.527847e+02
  1.020450e-01   5.463427e+04   5.531893e+02
  1.032400e-01   5.155651e+04   5.321896e+02
  1.044350e-01   4.962911e+04   5.240401e+02
  1.056300e-01   4.764732e+04   5.140933e+02
  1.068250e-01   4.673321e+04   5.066843e+02
  1.080200e-01   4.546508e+04   5.046382e+02
  1.092150e-01   4.329158e+04   4.824791e+02
  1.104100e-01   4.152432e+04   4.736443e+02
  1.116050e-01   4.089506e+04   4.672882e+02
  1.128000e-01   3.870278e+04   4.594469e+02
  1.139950e-01   3.744708e+04   4.530146e+02
  1.151890e-01   3.612746e+04   4.336684e+02
  1.163840e-01   3.430101e+04   4.299736e+02
  1.175790e-01   3.340811e+04   4.175036e+02
  1.187740e-01   3.282661e+04   4.172013e+02
  1.199690e-01   3.116890e+04   4.060600e+02
  1.211640e-01   3.079806e+04   3.959221e+02
  1.223590e-01   3.002048e+04   3.948697e+02
  1.235540e-01   2.840887e+04   3.828215e+02
  1.247490e-01   2.829415e+04   3.829131e+02
  1.259440e-01   2.561039e+04   3.586523e+02
  1.271390e-01   2.585335e+04   3.595602e+02
  1.283330e-01   2.558291e+04   3.636931e+02
  1.295280e-01   2.449506e+04   3.454810e+02
  1.307230e-01   2.442061e+04   3.525545e+02
  1.319180e-01   2.324431e+04   3.351190e+02
  1.331130e-01   2.294574e+04   3.347337e+02
  1.343080e-01   2.255793e+04   3.358635e+02
  1.355030e-01   2.150782e+04   3.220181e+02
  1.366980e-01   2.148766e+04   3.242704e+02
  1.378930e-01   2.014744e+04   3.084313e+02
  1.390880e-01   1.969847e+04   3.101449e+02
  1.402830e-01   1.923998e+04   2.983390e+02
  1.414770e-01   1.924560e+04   3.014493e+02
  1.426720e-01   1.857680e+04   2.946471e+02
  1.438670e-01   1.850715e+04   2.943955e+02
  1.450620e-01   1.723712e+04   2.861746e+02
  1.462570e-01   1.749833e+04   2.791971e+02
  1.474520e-01   1.731819e+04   2.833342e+02
  1.486470e-01   1.659463e+04   2.751289e+02
  1.498420e-01   1.597440e+04   2.691338e+02
  1.510370e-01   1.566799e+04   2.676042e+02
  1.522320e-01   1.569442e+04   2.623765e+02
  1.534270e-01   1.534478e+04   2.627361e+02
  1.546220e-01   1.470635e+04   2.549637e+02
  1.558160e-01   1.474778e+04   2.533698e+02
  1.570110e-01   1.424427e+04   2.514131e+02
  1.582060e-01   1.420877e+04   2.456735e+02
  1.594010e-01   1.363128e+04   2.469046e+02
  1.605960e-01   1.363970e+04   2.404802e+02
  1.617910e-01   1.349939e+04   2.394623e+02
  1.629860e-01   1.308076e+04   2.361595e+02
  1.641810e-01   1.292185e+04   2.336334e+02
  1.653760e-01   1.285317e+04   2.360864e+02
  1.665710e-01   1.198964e+04   2.211976e+02
  1.677660e-01   1.210872e+04   2.251252e+02
  1.689600e-01   1.213672e+04   2.251792e+02
  1.701550e-01   1.183096e+04   2.187545e+02
  1.713500e-01   1.186197e+04   2.218063e+02
  1.725450e-01   1.124543e+04   2.127086e+02
  1.737400e-01   1.111821e+04   2.137723e+02
  1.749350e-01   1.084300e+04   2.096073e+02
  1.761300e-01   1.125839e+04   2.122713e+02
  1.773250e-01   1.046425e+04   2.048273e+02
  1.785200e-01   1.038244e+04   2.003675e+02
  1.797150e-01   1.029608e+04   2.049808e+02
  1.809100e-01   1.070825e+04   2.090434e+02
  1.821040e-01   9.752863e+03   2.035383e+02
  1.832990e-01   1.016978e+04   2.092088e+02
  1.844940e-01   9.578145e+03   2.045790e+02
  1.856890e-01   9.584802e+03   2.072420e+02
  1.868840e-01   9.573775e+03   2.045324e+02
  1.880790e-01   9.313149e+03   2.052929e+02
  1.892740e-01   9.638973e+03   2.088531e+02
  1.904690e-01   9.078081e+03   2.022853e+02
  1.916640e-01   9.354418e+03   2.082362e+02
  1.928590e-01   9.319317e+03   2.012197e+02
  1.940540e-01   9.030124e+03   1.963999e+02
  1.952480e-01   8.407222e+03   1.872437e+02
  1.964430e-01   9.014225e+03   1.921403e+02
  1.976380e-01   8.511185e+03   1.872060e+02
  1.988330e-01   8.269842e+03   1.809806e+02
  2.000280e-01   8.399680e+03   1.844859e+02
  2.012230e-01   8.244226e+03   1.793071e+02
  2.024180e-01   8.270038e+03   1.797410e+02
  2.036130e-01   7.971239e+03   1.763134e+02
  2.048080e-01   7.952679e+03   1.743321e+02
  2.060030e-01   7.720493e+03   1.714818e+02
  2.071980e-01   7.943602e+03   1.705641e+02
  2.083930e-01   8.061811e+03   1.732221e+02
  2.095870e-01   7.638276e+03   1.667205e+02
  2.107820e-01   7.767068e+03   1.689292e+02
  2.119770e-01   7.513451e+03   1.643094e+02
  2.131720e-01   7.683017e+03   1.655039e+02
  2.143670e-01   7.815149e+03   1.660169e+02
  2.155620e-01   7.450692e+03   1.609856e+02
  2.167570e-01   7.555541e+03   1.629849e+02
  2.179520e-01   7.222922e+03   1.581451e+02
  2.191470e-01   7.364887e+03   1.596917e+02
  2.203420e-01   7.160829e+03   1.584270e+02
  2.215370e-01   7.089497e+03   1.549270e+02
  2.227310e-01   7.311578e+03   1.582756e+02
  2.239260e-01   6.953782e+03   1.532101e+02
  2.251210e-01   7.087830e+03   1.554857e+02
  2.263160e-01   6.855889e+03   1.515692e+02
  2.275110e-01   6.717586e+03   1.487299e+02
  2.287060e-01   6.792129e+03   1.509735e+02
  2.299010e-01   6.721653e+03   1.483480e+02
  2.310960e-01   7.029625e+03   1.532531e+02
  2.322910e-01   6.799666e+03   1.499602e+02
  2.334860e-01   6.460419e+03   1.447128e+02
  2.346810e-01   6.594618e+03   1.476818e+02
  2.358750e-01   6.377794e+03   1.425762e+02
  2.370700e-01   6.610575e+03   1.460744e+02
  2.382650e-01   6.569032e+03   1.446979e+02
  2.394600e-01   6.250958e+03   1.414476e+02
  2.406550e-01   6.198343e+03   1.413468e+02
  2.418500e-01   6.318172e+03   1.405427e+02
  2.430450e-01   6.044050e+03   1.389896e+02
  2.442400e-01   6.312510e+03   1.400017e+02
  2.454350e-01   6.290843e+03   1.405271e+02
  2.466300e-01   6.092037e+03   1.380992e+02
  2.478250e-01   6.041448e+03   1.354980e+02
  2.490190e-01   6.144488e+03   1.390740e+02
  2.502140e-01   5.978093e+03   1.345176e+02
  2.514090e-01   5.858170e+03   1.336938e+02
  2.526040e-01   6.162357e+03   1.372126e+02
  2.537990e-01   5.943577e+03   1.337748e+02
  2.549940e-01   5.827506e+03   1.341519e+02
  2.561890e-01   5.818739e+03   1.314990e+02
  2.573840e-01   5.877329e+03   1.324180e+02
  2.585790e-01   5.685009e+03   1.299791e+02
  2.597740e-01   5.849060e+03   1.314147e+02
  2.609690e-01   5.713241e+03   1.312435e+02
  2.621640e-01   6.019593e+03   1.322110e+02
  2.633580e-01   5.521580e+03   1.271093e+02
  2.645530e-01   5.515027e+03   1.267906e+02
  2.657480e-01   5.406606e+03   1.250605e+02
  2.669430e-01   5.641734e+03   1.283207e+02
  2.681380e-01   5.679385e+03   1.265842e+02
  2.693330e-01   5.465224e+03   1.270296e+02
  2.705280e-01   5.129030e+03   1.211958e+02
  2.717230e-01   5.409391e+03   1.242308e+02
  2.729180e-01   5.358822e+03   1.232646e+02
  2.741130e-01   5.518837e+03   1.242465e+02
  2.753080e-01   5.541138e+03   1.250340e+02
  2.765020e-01   5.102708e+03   1.195437e+02
  2.776970e-01   5.199470e+03   1.208199e+02
  2.788920e-01   5.046466e+03   1.181612e+02
  2.800870e-01   5.495263e+03   1.235281e+02
  2.812820e-01   5.258969e+03   1.210639e+02
  2.824770e-01   5.306722e+03   1.207321e+02
  2.836720e-01   5.217218e+03   1.200710e+02
  2.848670e-01   5.304279e+03   1.200567e+02
  2.860620e-01   5.030405e+03   1.176884e+02
  2.872570e-01   5.210476e+03   1.183588e+02
  2.884520e-01   5.005887e+03   1.152684e+02
  2.896460e-01   5.012820e+03   1.173412e+02
  2.908410e-01   5.116375e+03   1.172851e+02
  2.920360e-01   5.238808e+03   1.183326e+02
  2.932310e-01   4.914587e+03   1.144786e+02
  2.944260e-01   5.040862e+03   1.154026e+02
  2.956210e-01   4.874588e+03   1.140118e+02
  2.968160e-01   4.968491e+03   1.140450e+02
  2.980110e-01   4.799385e+03   1.123451e+02
  2.992060e-01   5.043323e+03   1.147693e+02
  3.004010e-01   5.095305e+03   1.164965e+02
  3.015960e-01   4.970322e+03   1.143283e+02
  3.027900e-01   4.848603e+03   1.112053e+02
  3.039850e-01   4.999407e+03   1.133015e+02
  3.051800e-01   4.974482e+03   1.127655e+02
  3.063750e-01   5.002173e+03   1.140397e+02
  3.075700e-01   4.947654e+03   1.122728e+02
  3.087650e-01   4.792319e+03   1.098855e+02
  3.099600e-01   4.679658e+03   1.089472e+02
  3.111550e-01   4.889825e+03   1.113050e+02
  3.123500e-01   4.590705e+03   1.074309e+02
  3.135450e-01   4.923323e+03   1.105876e+02
  3.147400e-01   4.734188e+03   1.091569e+02
  3.159350e-01   4.783586e+03   1.094840e+02
  3.171290e-01   4.600240e+03   1.066082e+02
  3.183240e-01   4.648358e+03   1.079846e+02
  3.195190e-01   4.697690e+03   1.071538e+02
  3.207140e-01   4.535665e+03   1.063761e+02
  3.219090e-01   4.614541e+03   1.061445e+02
  3.231040e-01   4.563315e+03   1.052170e+02
  3.242990e-01   4.497580e+03   1.046232e+02
  3.254940e-01   4.573009e+03   1.051058e+02
  3.266890e-01   4.605521e+03   1.071921e+02
  3.278840e-01   4.463914e+03   1.028705e+02
  3.290790e-01   4.594776e+03   1.054114e+02
  3.302730e-01   4.560960e+03   1.048012e+02
  3.314680e-01   4.582583e+03   1.048286e+02
  3.326630e-01   4.601964e+03   1.053824e+02
  3.338580e-01   4.491388e+03   1.022886e+02
  3.350530e-01   4.465959e+03   1.030545e+02
  3.362480e-01   4.743649e+03   1.060447e+02
  3.374430e-01   4.378196e+03   1.013537e+02
  3.386380e-01   4.424221e+03   1.022003e+02
  3.398330e-01   4.584499e+03   1.030810e+02
  3.410280e-01   4.546837e+03   1.039294e+02
  3.422230e-01   4.323096e+03   9.999775e+01
  3.434170e-01   4.366589e+03   1.000449e+02
  3.446120e-01   4.240804e+03   9.924253e+01
  3.458070e-01   4.441844e+03   1.010554e+02
  3.470020e-01   4.259276e+03   9.910654e+01
  3.481970e-01   4.261953e+03   9.834694e+01
  3.493920e-01   4.463612e+03   1.007970e+02
  3.505870e-01   4.382446e+03   1.002767e+02
  3.517820e-01   4.443253e+03   1.005168e+02
  3.529770e-01   4.323227e+03   9.905139e+01
  3.541720e-01   4.387327e+03   9.842402e+01
  3.553670e-01   4.362221e+03   9.939843e+01
  3.565610e-01   4.216755e+03   9.748583e+01
  3.577560e-01   4.359366e+03   9.897430e+01
  3.589510e-01   4.411674e+03   9.937110e+01
  3.601460e-01   4.305980e+03   9.703962e+01
  3.613410e-01   4.324074e+03   9.799640e+01
  3.625360e-01   4.314215e+03   9.764767e+01
  3.637310e-01   4.395138e+03   9.818015e+01
  3.649260e-01   4.300313e+03   9.720858e+01
  3.661210e-01   4.058146e+03   9.407071e+01
  3.673160e-01   4.339620e+03   9.817241e+01
  3.685110e-01   4.221660e+03   9.535757e+01
  3.697060e-01   4.206925e+03   9.514619e+01
  3.709000e-01   4.108275e+03   9.487655e+01
  3.720950e-01   4.382467e+03   9.679251e+01
  3.732900e-01   4.321485e+03   9.675235e+01
  3.744850e-01   4.095890e+03   9.275364e+01
  3.756800e-01   4.207023e+03   9.541722e+01
  3.768750e-01   4.265038e+03   9.513161e+01
  3.780700e-01   4.406749e+03   9.683410e+01
  3.792650e-01   4.218187e+03   9.491663e+01
  3.804600e-01   4.156031e+03   9.304807e+01
  3.816550e-01   4.160521e+03   9.426560e+01
  3.828500e-01   4.101920e+03   9.223040e+01
  3.840440e-01   4.130230e+03   9.284346e+01
  3.852390e-01   4.231875e+03   9.406491e+01
  3.864340e-01   4.031529e+03   9.160201e+01
  3.876290e-01   4.141042e+03   9.360826e+01
  3.888240e-01   4.036261e+03   9.107695e+01
  3.900190e-01   3.939594e+03   9.042808e+01
  3.912140e-01   4.054293e+03   9.132124e+01
  3.924090e-01   4.087958e+03   9.182366e+01
  3.936040e-01   4.082195e+03   9.114403e+01
  3.947990e-01   4.085401e+03   9.126112e+01
  3.959940e-01   4.131668e+03   9.227163e+01
