Sample description: CaMCa_THz_onoff_cap
Sample: CaMCa_THz_onoff  c= 6.0000 mg/ml  Code: CaMCa_CaMCa
  2.198640e-02   1.401543e+07   3.491963e+04
  2.318130e-02   1.174049e+07   2.593578e+04
  2.437620e-02   9.732398e+06   2.160031e+04
  2.557110e-02   8.292891e+06   1.705155e+04
  2.676600e-02   6.919404e+06   1.399405e+04
  2.796090e-02   5.870875e+06   1.204863e+04
  2.915580e-02   4.961434e+06   1.096140e+04
  3.035070e-02   4.244727e+06   9.887192e+03
  3.154570e-02   3.672346e+06   8.979002e+03
  3.274060e-02   3.204545e+06   8.548949e+03
  3.393550e-02   2.826881e+06   7.470135e+03
  3.513040e-02   2.490470e+06   7.163683e+03
  3.632530e-02   2.212382e+06   6.397000e+03
  3.752020e-02   1.991273e+06   6.068925e+03
  3.871510e-02   1.782072e+06   5.696602e+03
  3.991000e-02   1.616262e+06   5.189129e+03
  4.110490e-02   1.449935e+06   4.950113e+03
  4.229990e-02   1.328370e+06   4.501397e+03
  4.349480e-02   1.200361e+06   4.224502e+03
  4.468970e-02   1.101088e+06   3.959290e+03
  4.588460e-02   9.999129e+05   3.632614e+03
  4.707950e-02   9.216880e+05   3.558296e+03
  4.827440e-02   8.455517e+05   3.276668e+03
  4.946930e-02   7.755328e+05   3.064414e+03
  5.066420e-02   7.129187e+05   2.968871e+03
  5.185910e-02   6.578917e+05   2.668674e+03
  5.305410e-02   6.039198e+05   2.643564e+03
  5.424900e-02   5.593702e+05   2.411258e+03
  5.544390e-02   5.200338e+05   2.345781e+03
  5.663880e-02   4.722855e+05   2.191515e+03
  5.783370e-02   4.442892e+05   2.089691e+03
  5.902860e-02   4.099328e+05   2.011482e+03
  6.022350e-02   3.785743e+05   1.835362e+03
  6.141840e-02   3.522583e+05   1.812085e+03
  6.261330e-02   3.285204e+05   1.716243e+03
  6.380830e-02   3.036197e+05   1.622290e+03
  6.500320e-02   2.852866e+05   1.572549e+03
  6.619810e-02   2.632083e+05   1.452661e+03
  6.739300e-02   2.450276e+05   1.436328e+03
  6.858790e-02   2.309655e+05   1.356159e+03
  6.978280e-02   2.183872e+05   1.292685e+03
  7.097770e-02   2.033725e+05   1.253596e+03
  7.217260e-02   1.911211e+05   1.180795e+03
  7.336750e-02   1.766730e+05   1.157051e+03
  7.456250e-02   1.680014e+05   1.093573e+03
  7.575740e-02   1.592586e+05   1.058343e+03
  7.695230e-02   1.488656e+05   1.008245e+03
  7.814720e-02   1.405091e+05   9.852827e+02
  7.934210e-02   1.338280e+05   9.615730e+02
  8.053700e-02   1.254531e+05   8.924586e+02
  8.173190e-02   1.189958e+05   8.799548e+02
  8.292680e-02   1.118753e+05   8.327138e+02
  8.412170e-02   1.077824e+05   8.205938e+02
  8.531670e-02   1.024296e+05   8.020937e+02
  8.651160e-02   9.694939e+04   7.564482e+02
  8.770650e-02   9.119110e+04   7.420781e+02
  8.890140e-02   8.852597e+04   7.148029e+02
  9.009630e-02   8.356311e+04   6.902507e+02
  9.129120e-02   7.988543e+04   6.724468e+02
  9.248610e-02   7.654106e+04   6.504306e+02
  9.368100e-02   7.218922e+04   6.354183e+02
  9.487590e-02   6.900732e+04   6.062845e+02
  9.607090e-02   6.619550e+04   6.099220e+02
  9.726580e-02   6.383493e+04   5.946952e+02
  9.846070e-02   6.119159e+04   5.950193e+02
  9.965560e-02   5.934589e+04   5.859769e+02
  1.008510e-01   5.585634e+04   5.595996e+02
  1.020450e-01   5.329169e+04   5.539210e+02
  1.032400e-01   5.228944e+04   5.433861e+02
  1.044350e-01   4.970022e+04   5.316824e+02
  1.056300e-01   4.862351e+04   5.265295e+02
  1.068250e-01   4.540034e+04   5.063269e+02
